task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,-1.478698151534063,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,0.2750567368349776,0.6272542340276885,0.6272542340276885,0.20255639847304854,binomial,0.75,4,3,False,din
4,3,0,3,100.0,True,-1.317008572361259,0.9690943050014176,0.9690943050014176,0.013633958605690435,binomial,0.3333333333333333,3,1,False,mnx,0.2266142309575664,0.538926420192303,0.538926420192303,0.26847052513941594,binomial,0.7142857142857143,14,10,False,adflnv
6,3,0,3,100.0,True,0.9747420659261704,0.3009284528555165,0.3009284528555165,0.5215367476738375,binomial,0.8571428571428571,7,6,False,cdmpsx,2.6191845456690555,0.003520290235708898,0.003520290235708898,2.4534215289734083,binomial,1.0,15,15,True,bcflps
9,4,0,4,100.0,True,-0.8024276097993902,0.9054736210318147,0.9054736210318147,0.04312419737333045,binomial,0.5,4,2,False,nr,1.1508854557816308,0.22896890299429196,0.22896890299429196,0.6402234965904069,binomial,0.875,8,7,False,cilnr
11,3,0,3,100.0,True,0.9747420659261704,0.3009284528555165,0.3009284528555165,0.5215367476738375,binomial,0.8571428571428571,7,6,False,abijxy,2.530372667939153,0.005130266269219412,0.005130266269219412,2.289860093708514,binomial,1.0,14,14,True,abflprx
13,4,0,4,100.0,True,0.9563909719545745,0.47084409640988667,0.47084409640988667,0.3271228705297877,binomial,1.0,2,2,False,ab,1.3104887274477732,0.17253774663728455,0.17253774663728455,0.7631158781967329,binomial,0.8888888888888888,9,8,False,abfrs
19,5,0,5,100.0,True,-1.317008572361259,0.9690943050014176,0.9690943050014176,0.013633958605690435,binomial,0.3333333333333333,3,1,False,nvx,-1.3898453895685976,0.9511523679288842,0.9511523679288842,0.021749906563888397,binomial,0.5,12,6,False,npsw
21,5,0,5,100.0,True,-1.879911956433758,0.9903011996579518,0.9903011996579518,0.0042326948422677,binomial,0.25,4,1,False,mnx,1.2429665572947795,0.17390493651694927,0.17390493651694927,0.7596880898107328,binomial,0.8461538461538461,13,11,False,clnrs
23,3,0,3,100.0,True,0.6762705417346727,0.6861808044603744,0.6861808044603744,0.1635614352648939,binomial,1.0,1,1,False,s,2.6191845456690555,0.003520290235708898,0.003520290235708898,2.4534215289734083,binomial,1.0,15,15,True,cefs
24,5,0,5,100.0,True,-0.5674020043004618,0.9015175125108623,0.9015175125108623,0.04502583243247243,binomial,0.5,2,1,False,in,0.2750567368349776,0.6272542340276885,0.6272542340276885,0.20255639847304854,binomial,0.75,4,3,False,cn
25,8,0,8,100.0,True,-0.41527569251377794,0.8181630368186521,0.8181630368186521,0.08716014506290622,binomial,0.6,5,3,False,fimns,1.1508854557816308,0.22896890299429196,0.22896890299429196,0.6402234965904069,binomial,0.875,8,7,False,clnp
27,3,0,3,100.0,True,0.9563909719545745,0.47084409640988667,0.47084409640988667,0.3271228705297877,binomial,1.0,2,2,False,s,0.592165829691528,0.4264779502438178,0.4264779502438178,0.37010341780240036,binomial,0.7777777777777778,9,7,False,cirs
28,3,0,3,100.0,True,0.6762705417346727,0.6861808044603744,0.6861808044603744,0.1635614352648939,binomial,1.0,1,1,False,s,2.138555226357523,0.023141187827975945,0.023141187827975945,1.6356143526489386,binomial,1.0,10,10,False,cls
