task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
590,0,0,0,0,True,-1.855114452841397,0.9872814406891738,0.9872814406891738,0.005559026950350468,binomial,0.25,8,2,False,cprxy,1.8969012519991928,0.04439703924944362,0.04439703924944362,1.3526459911579694,binomial,0.7894736842105263,19,15,False,ahm
776,0,0,0,0,True,-1.3117640094813237,0.9671591340041599,0.9671591340041599,0.0145020622831838,binomial,0.25,4,1,False,irtv,2.938221944148114,0.0018007861702548163,0.0018007861702548163,2.744537853305783,binomial,0.9375,16,15,True,a
728,0,0,0,0,True,-1.3117640094813237,0.9671591340041599,0.9671591340041599,0.0145020622831838,binomial,0.25,4,1,False,ilr,2.2778831233392856,0.020604957067634707,0.020604957067634707,1.686028286031835,binomial,1.0,7,7,False,aio
627,0,0,0,0,True,0.11622428744664569,0.6372752240810268,0.6372752240810268,0.1956729656470059,binomial,0.6,5,3,False,aefms,3.1042314394277373,0.000739272602749555,0.000739272602749555,3.1311953883448362,binomial,1.0,13,13,True,a
733,0,0,0,0,True,-2.0194080457114865,0.9940485621722095,0.9940485621722095,0.0025923985320121475,binomial,0.16666666666666666,6,1,False,almrx,2.9824490962756305,0.0012872585804449854,0.0012872585804449854,2.8903342046260025,binomial,1.0,12,12,True,aeip
57,0,0,0,0,True,1.7219177885790915,0.10878155562384006,0.10878155562384006,0.9634447348753342,binomial,1.0,4,4,False,ain,2.8554776122776815,0.002241439283379741,0.002241439283379741,2.6494730209071693,binomial,1.0,11,11,True,a
166,0,0,0,0,True,1.4912245481378152,0.18941590740699996,0.18941590740699996,0.7225835511565006,binomial,1.0,3,3,False,aij,2.7225910777350997,0.003902906640048305,0.003902906640048305,2.4086118371883356,binomial,1.0,10,10,True,aeop
468,0,0,0,0,True,0.45758277002751874,0.49114925667126075,0.49114925667126075,0.30878650889872045,binomial,0.6666666666666666,6,4,False,acijmn,2.938221944148114,0.0018007861702548163,0.0018007861702548163,2.744537853305783,binomial,0.9375,16,15,True,aip
573,0,0,0,0,True,-0.30053674346118525,0.7899403476155203,0.7899403476155203,0.10240570324064742,binomial,0.5,4,2,False,ilpt,2.2778831233392856,0.020604957067634707,0.020604957067634707,1.686028286031835,binomial,1.0,7,7,False,a
629,0,0,0,0,True,0.8609588942895458,0.5743,0.5743,0.2408611837188335,binomial,1.0,1,1,False,n,2.2778831233392856,0.020604957067634707,0.020604957067634707,1.686028286031835,binomial,1.0,7,7,False,a
