task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,0.9955727741759854,0.27211998825567785,0.27211998825567785,0.5652395564550187,binomial,0.7142857142857143,7,5,False,"['d', 'e', 'i', 'n', 't']",1.9381481597796366,0.047657371044860355,0.047657371044860355,1.3218699186030969,binomial,0.8181818181818182,11,9,False,"['a', 'e', 'i', 'l', 'n', 'o', 't']"
1,4,0,4,100.0,True,-1.4617563850253374,0.9761742619402579,0.9761742619402579,0.010472647247700034,binomial,0.2,5,1,False,"['c', 'p', 'r']",2.845554196177887,0.0031035770377410964,0.0031035770377410964,2.508137469981947,binomial,1.0,9,9,True,"['a', 'g', 'i', 'l', 'o', 'p']"
2,3,0,3,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['n'],2.120950872104509,0.04041944021049423,0.04041944021049423,1.3934097055455263,binomial,1.0,5,5,False,"['d', 'e', 'g', 'i']"
3,6,0,6,100.0,True,0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['b', 'o']",2.509542915080997,0.011200216360215497,0.011200216360215497,1.9507735877637369,binomial,1.0,7,7,True,"['a', 'i', 'l', 'o']"
4,3,0,3,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['m', 'n', 'x']",2.366138339326548,0.01633219005504354,0.01633219005504354,1.7869555749052728,binomial,0.9,10,9,True,"['a', 'e', 'g', 'k', 'l', 'n', 'o', 'p']"
5,3,0,3,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['d', 'n', 'r']",1.5057479463290055,0.13613214103897503,0.13613214103897503,0.8660393249957412,binomial,0.8333333333333334,5,5,False,"['a', 'd', 'l', 'n', 'o']"
6,3,0,3,100.0,True,0.23858770372347954,0.5575949987659767,0.5575949987659767,0.25368113020789435,binomial,0.5714285714285714,7,4,False,"['c', 'd', 'm', 'p', 's', 'x']",2.845554196177887,0.0031035770377410964,0.0031035770377410964,2.508137469981947,binomial,1.0,9,9,True,"['d', 'e', 'g', 'l', 'o', 'p']"
7,4,0,4,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['s', 'x']",0.6881106206342229,0.3944664213315202,0.3944664213315202,0.4039899598844665,binomial,0.6666666666666666,6,4,False,"['i', 'l', 'o', 's']"
8,5,0,5,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['n', 'p', 's']",1.9747195293342397,0.04833096663690365,0.04833096663690365,1.3157745187267287,binomial,0.875,8,7,False,"['i', 'l', 'o', 't']"
9,4,0,4,100.0,True,-2.10855235442682,1.0,1.0,-0.0,binomial,0.0,4,0,False,"['n', 'r']",1.5057479463290055,0.13613214103897503,0.13613214103897503,0.8660393249957412,binomial,0.8333333333333334,6,5,False,"['e', 'i', 'l', 'n', 'o', 'p']"
