task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
1,4,0,4,100.0,True,0.11634454817668259,0.6372271643192984,0.6372271643192984,0.19570571896237052,binomial,0.6,5,3,False,cpr,0.45771181941655853,0.49109405651704763,0.49109405651704763,0.3088353219007095,binomial,0.6666666666666666,6,4,False,cgilo
2,3,0,3,100.0,True,0.8610060882769243,0.5742731979291119,0.5742731979291119,0.24088145232951216,binomial,1.0,1,1,False,n,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,3,3,False,now
3,6,0,6,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,bo,1.020806345302535,0.29397156685301984,0.29397156685301984,0.5316946728395044,binomial,0.8,5,4,False,alov
4,3,0,3,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,mnx,1.9088722443557626,0.052116420682949034,0.052116420682949034,1.2830254189575954,binomial,0.8888888888888888,9,8,False,lmns
5,3,0,3,100.0,True,-0.30042588487118127,0.7899068732061715,0.7899068732061715,0.10242410723702852,binomial,0.5,4,2,False,dnr,0.11634454817668259,0.6372271643192984,0.6372271643192984,0.19570571896237052,binomial,0.6,5,3,False,dlnov
6,3,0,3,100.0,True,-0.7796309574279909,0.8766794431135481,0.8766794431135481,0.057159176914376886,binomial,0.42857142857142855,7,3,False,cdmpsx,-0.4248663608727626,0.7839796745574446,0.7839796745574446,0.10569519668031967,binomial,0.5,8,4,False,cglmp
7,4,0,4,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,sx,1.020806345302535,0.29397156685301984,0.29397156685301984,0.5316946728395044,binomial,0.8,5,4,False,alsw
8,5,0,5,100.0,True,0.7107931458413336,0.4312738058395313,0.4312738058395313,0.36524691867948894,binomial,0.75,4,3,False,nps,0.45771181941655853,0.49109405651704763,0.49109405651704763,0.3088353219007095,binomial,0.6666666666666666,6,4,False,almntv
9,4,0,4,100.0,True,-0.30042588487118127,0.7899068732061715,0.7899068732061715,0.10242410723702852,binomial,0.5,4,2,False,nr,1.020806345302535,0.29397156685301984,0.29397156685301984,0.5316946728395044,binomial,0.8,5,4,False,clnov
10,0,5,5,0.0,False,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,bis,1.6360580985751636,0.08822510031632633,0.08822510031632633,1.0544078391532898,binomial,0.8181818181818182,11,9,False,inps
11,3,0,3,100.0,True,-0.01522122134767645,0.6589347107988841,0.6589347107988841,0.18115761445676687,binomial,0.5714285714285714,7,4,False,abijxy,-0.01522122134767645,0.6589347107988841,0.6589347107988841,0.18115761445676687,binomial,0.5714285714285714,7,4,False,abco
12,3,0,3,100.0,True,0.7107931458413336,0.4312738058395313,0.4312738058395313,0.36524691867948894,binomial,0.75,4,3,False,msx,1.5135982508129526,0.12748902450714028,0.12748902450714028,0.8945272019057647,binomial,0.8571428571428571,7,6,False,clmos
13,4,0,4,100.0,True,-0.2124331804363813,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,2,1,False,ab,-0.2124331804363813,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,2,1,False,ab
14,3,0,3,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,irs,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,als
15,3,0,3,100.0,True,-0.2124331804363813,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,2,1,False,nx,1.7220121765538485,0.10876125009104651,0.10876125009104651,0.9635258093180489,binomial,1.0,4,4,False,acn
16,5,0,5,100.0,True,0.8610060882769243,0.5742731979291119,0.5742731979291119,0.24088145232951216,binomial,1.0,1,1,False,s,1.7220121765538485,0.10876125009104651,0.10876125009104651,0.9635258093180489,binomial,1.0,4,4,False,acs
17,5,0,5,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,mnx,0.7107931458413336,0.4312738058395313,0.4312738058395313,0.36524691867948894,binomial,0.75,4,3,False,lmn
18,4,0,4,100.0,True,0.7107931458413336,0.4312738058395313,0.4312738058395313,0.36524691867948894,binomial,0.75,4,3,False,ist,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,3,3,False,s
19,5,0,5,100.0,True,0.323651131338681,0.6105903395228514,0.6105903395228514,0.21425007118885978,binomial,0.6666666666666666,3,2,False,nvx,2.7227403182270806,0.0039010855706636096,0.0039010855706636096,2.4088145232951224,binomial,1.0,10,10,True,cnow
20,0,5,5,0.0,False,0.29017347300894436,0.5338897470403235,0.5338897470403235,0.27254841936791396,binomial,0.625,8,5,False,cdein,1.8149574218604478,0.059396563795138774,0.059396563795138774,1.2262386790588067,binomial,0.8333333333333334,12,10,False,cijlmntv
21,5,0,5,100.0,True,0.7107931458413336,0.4312738058395313,0.4312738058395313,0.36524691867948894,binomial,0.75,4,3,False,mnx,2.24584611780067,0.020509052416698665,0.020509052416698665,1.6880544049512713,binomial,0.9090909090909091,11,10,False,lmnsv
22,3,0,3,100.0,True,-1.1614319731481055,1.0,1.0,-0.0,binomial,0.0,1,0,False,x,1.020806345302535,0.29397156685301984,0.29397156685301984,0.5316946728395044,binomial,0.8,5,4,False,ailv
23,3,0,3,100.0,True,0.8610060882769243,0.5742731979291119,0.5742731979291119,0.24088145232951216,binomial,1.0,1,1,False,s,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,3,3,False,s
24,5,0,5,100.0,True,1.2176464873270325,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,2,2,False,in,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,3,3,False,in
25,8,0,8,100.0,True,1.020806345302535,0.29397156685301984,0.29397156685301984,0.5316946728395044,binomial,0.8,5,4,False,fimns,1.7202531407723582,0.08198274698789425,0.08198274698789425,1.0862775339129398,binomial,0.875,8,7,False,acln
26,3,0,3,100.0,True,1.925268142428387,0.06245867090055319,0.06245867090055319,1.2044072616475612,binomial,1.0,5,5,False,cn,1.5135982508129526,0.12748902450714028,0.12748902450714028,0.8945272019057647,binomial,0.8571428571428571,7,6,False,acln
27,3,0,3,100.0,True,1.2176464873270325,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,2,2,False,s,2.2780079868932672,0.020598226704683045,0.020598226704683045,1.6861701663065856,binomial,1.0,7,7,False,cios
