pid,original_code,watermarked_code,perturbed_code_static,executable_static
87,"    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])
","def get_row(lst, x):
    locations_list = [] # data_of_all_locations

    # loop_over_each_line and its_index
    for idx_line, input_line in enumerate(lst):
        # loop_over_each_element_and_local_index
        for idx_data_element, data_element in enumerate(input_line):
            if data_element == x:
                locations_list.append((idx_line, idx_data_element))

    # Uses_a_particular_ordering_approach.
    # It_uses_a_lambda_key_generating_logic_of (row, -column).
    locations_list.sort(key=lambda each_location: (each_location[0], -each_location[1]))

    return locations_list","def get_row(lettuce_Faisal_dialectic, x):
    locations_list = [] # data_of_all_locations

    # loop_over_each_line and its_index
    for idx_line, input_line in enumerate(overdress_entice_Liposcelis):
        # loop_over_each_element_and_local_index
        for idx_data_element, data_element in enumerate(input_line):
            if data_element == x:
                locations_list.append((idx_line, idx_data_element))

    # Uses_a_particular_ordering_approach.
    # It_uses_a_lambda_key_generating_logic_of (row, -column).
    locations_list.sort(key=lambda each_location: (each_location[0], -each_location[1]))

    return locations_list",True
99,"    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res

","import math

def closest_integer(given_input_data):
    # Locate decimal data.
    actual_decimal_data = float(given_input_data)

    # Locate lower integer element.
    lower_integer_element = math.floor(actual_decimal_data)
    # Locate upper integer element.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Do data gap, lower.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Do data gap, upper.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Logic, dealing equidistant items.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:  # Equidistant case
        # If equidistant, adjust.
        if actual_decimal_data >= 0:
            # Positive, upward adjustment.
            return int(upper_integer_element)
        else:
            # Less, downward adjustment.
            return int(lower_integer_element)","import math

def closest_integer(given_input_data):
    # Locate decimal data.
    actual_decimal_data = float(given_input_data)

    # Locate lower integer element.
    lower_integer_element = math.floor(actual_decimal_data)
    # Locate upper integer element.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Do data gap, lower.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Do data gap, upper.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Logic, dealing equidistant items.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:  # Equidistant case
        # If equidistant, adjust.
        if actual_decimal_data >= 0:
            # Positive, upward adjustment.
            return int(upper_integer_element)
        else:
            # Less, downward adjustment.
            return int(lower_integer_element)",True
41,"    return n**2
","def car_race_collision(n: int):
    # a general explanation:
    # each 'auto', driving left, involves an 'encounter'.
    # involving all 'autos' going, also.
    # an equal 'amount' of left-going 'autos' exists.
    # an equal 'amount' of 'autos' in other direction exists.
    # a grand outcome: 'n' x 'n'.
    all_impacts = n * n # a local 'equation' gives all 'impacts'.
    return all_impacts","def car_race_collision(n: int):
    # a general explanation:
    # each 'auto', driving left, involves an 'encounter'.
    # involving all 'autos' going, also.
    # an equal 'amount' of left-going 'autos' exists.
    # an equal 'amount' of 'autos' in other direction exists.
    # a grand outcome: 'n' x 'n'.
    all_impacts = n * n # a local 'equation' gives all 'impacts'.
    return all_impacts",True
128,"    if not arr: return None
    prod = 0 if 0 in arr else (-1) ** len(list(filter(lambda x: x < 0, arr)))
    return prod * sum([abs(i) for i in arr])
","def prod_signs(arr):
    # Determine if input data list is empty.
    if len(arr) == 0:
        return None

    overall_product_indicator = 1  # Initialize overall product indicator.
    add_up_absolute_elements = 0   # Initialize accumulator, obtains absolute elements.

    for each_digit in arr:
        # Obtain digit polarity unit.
        digit_polarity_unit = 0
        if each_digit > 0:
            digit_polarity_unit = 1
        elif each_digit < 0:
            digit_polarity_unit = -1
        # If each_digit is 0, digit_polarity_unit remains 0,
        # leading to an overall_product_indicator of 0.

        # Update overall product indicator.
        overall_product_indicator *= digit_polarity_unit
        
        # Update absolute overall accumulator.
        add_up_absolute_elements += abs(each_digit)

    # Generate output.
    return overall_product_indicator * add_up_absolute_elements","def prod_signs(race_loop_field):
    # Determine if input data list is empty.
    if len(warmhearted_riposte_Joseph) == 0:
        return None

    overall_product_indicator = 1  # Initialize overall product indicator.
    add_up_absolute_elements = 0   # Initialize accumulator, obtains absolute elements.

    for each_digit in antisyphilitic_Burton_gynoecium:
        # Obtain digit polarity unit.
        digit_polarity_unit = 0
        if each_digit > 0:
            digit_polarity_unit = 1
        elif each_digit < 0:
            digit_polarity_unit = -1
        # If each_digit is 0, digit_polarity_unit remains 0,
        # leading to an overall_product_indicator of 0.

        # Update overall product indicator.
        overall_product_indicator *= digit_polarity_unit
        
        # Update absolute overall accumulator.
        add_up_absolute_elements += abs(each_digit)

    # Generate output.
    return overall_product_indicator * add_up_absolute_elements",True
49,"    ret = 1
    for i in range(n):
        ret = (2 * ret) % p
    return ret
","def modp(input_exponent: int, p: int):
    # Operates outcome_element, initially one.
    outcome_element = 1
    # Local operand unit, always duo.
    local_operand_unit = 2
    # Local exponent, duplicates input_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, duplicates outcome_element using local_operand_unit.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies p division.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Adjusts local_exponent.
        local_exponent = local_exponent // 2
    return outcome_element","def modp(input_exponent: int, p: int):
    # Operates outcome_element, initially one.
    outcome_element = 1
    # Local operand unit, always duo.
    local_operand_unit = 2
    # Local exponent, duplicates input_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, duplicates outcome_element using local_operand_unit.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies p division.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Adjusts local_exponent.
        local_exponent = local_exponent // 2
    return outcome_element",True
110,"    odd = 0
    even = 0
    for i in lst1:
        if i%2 == 1:
            odd += 1
    for i in lst2:
        if i%2 == 0:
            even += 1
    if even >= odd:
        return ""YES""
    return ""NO""
            
","def exchange(lst1, lst2):
    odd_elements_one = 0
    # Obtain count of odd elements in lst1.
    for ele_one in lst1:
        if ele_one % 2 != 0:
            odd_elements_one += 1

    even_elements_do = 0
    # Obtain count of even elements in lst2.
    for ele_do in lst2:
        if ele_do % 2 == 0:
            even_elements_do += 1
    
    # Judge if even elements available in lst2 are adequate for odd elements in lst1.
    if even_elements_do >= odd_elements_one:
        return ""YES""
    else:
        return ""NO""","def exchange(lst1, dictate_insufflate_thelarche):
    odd_elements_one = 0
    # Obtain count of odd elements in lst1.
    for ele_one in lst1:
        if ele_one % 2 != 0:
            odd_elements_one += 1

    even_elements_do = 0
    # Obtain count of even elements in lst2.
    for ele_do in defalcation_fade_Trollius:
        if ele_do % 2 == 0:
            even_elements_do += 1
    
    # Judge if even elements available in lst2 are adequate for odd elements in lst1.
    if even_elements_do >= odd_elements_one:
        return ""YES""
    else:
        return ""NO""",True
47,"    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
","def median(l: list):
    _ordered_data = sorted(l) # a local list, in an ordered way
    _data_length = len(_ordered_data) # get length of the list
    _index_point = _data_length // 2 # an index for the middle point

    if _data_length % 2 == 1:
        # odd length, just take the middle element
        _outcome_value = _ordered_data[_index_point]
    else:
        # even length, average the two middle elements
        _element_one = _ordered_data[_index_point - 1]
        _element_two = _ordered_data[_index_point]
        _outcome_value = (_element_one + _element_two) / 2.0
    
    return _outcome_value","def median(l: list):
    _ordered_data = sorted(l) # a local list, in an ordered way
    _data_length = len(_ordered_data) # get length of the list
    _index_point = _data_length // 2 # an index for the middle point

    if _data_length % 2 == 1:
        # odd length, just take the middle element
        _outcome_value = _ordered_data[_index_point]
    else:
        # even length, average the two middle elements
        _element_one = _ordered_data[_index_point - 1]
        _element_two = _ordered_data[_index_point]
        _outcome_value = (_element_one + _element_two) / 2.0
    
    return _outcome_value",True
23,"    return len(string)
","def strlen(input_data: str) -> int:
    # An easy operation.
    # Acknowledging input_data's length.
    return len(input_data)","def strlen(input_data: str) -> int:
    # An easy operation.
    # Acknowledging input_data's length.
    return len(input_data)",True
29,"    return [x for x in strings if x.startswith(prefix)]
","from typing import List


def filter_by_prefix(original_data_list: List[str], input_prefix_key: str) -> List[str]:
    # a list to keep eligible elements
    eligible_items_list = []
    for each_data_item in original_data_list:
        if each_data_item.startswith(input_prefix_key):
            # add an item if it opens with given prefix
            eligible_items_list.append(each_data_item)
    return eligible_items_list","from typing import List


def filter_by_prefix(original_data_list: List[str], input_prefix_key: str) -> List[str]:
    # a list to keep eligible elements
    pervert_newspeak_graphite = []
    for each_data_item in original_data_list:
        if each_data_item.startswith(input_prefix_key):
            # add an item if it opens with given prefix
            unresponsiveness_reticent_quarter.append(each_data_item)
    return inutile_baste_hilliness",True
98,"    count = 0
    for i in range(0,len(s),2):
        if s[i] in ""AEIOU"":
            count += 1
    return count
","def count_upper(input_data):
    # Initializes a counter for applicable units.
    good_upper_count = 0
    # Gathers all upper vowels for comparison.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterates through each unit in the input data with its index.
    for i, data_unit in enumerate(input_data):
        # Examines if the unit's index is even.
        if i % 2 == 0:
            # Judges if the unit is an uppercase vowel.
            if data_unit in all_upper_vowels:
                good_upper_count += 1
    
    return good_upper_count","def count_upper(desert_allergenic_razor):
    # Initializes a counter for applicable units.
    good_upper_count = 0
    # Gathers all upper vowels for comparison.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterates through each unit in the input data with its index.
    for i, data_unit in enumerate(harrier_husk_parafovea):
        # Examines if the unit's index is even.
        if i % 2 == 0:
            # Judges if the unit is an uppercase vowel.
            if data_unit in all_upper_vowels:
                good_upper_count += 1
    
    return good_upper_count",True
