pid,original_code,watermarked_code,paraphrased_code_qwen,paraphrased_code_llama
87,"    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])
","def get_row(lst, x):
    locations_list = [] # data_of_all_locations

    # loop_over_each_line and its_index
    for idx_line, input_line in enumerate(lst):
        # loop_over_each_element_and_local_index
        for idx_data_element, data_element in enumerate(input_line):
            if data_element == x:
                locations_list.append((idx_line, idx_data_element))

    # Uses_a_particular_ordering_approach.
    # It_uses_a_lambda_key_generating_logic_of (row, -column).
    locations_list.sort(key=lambda each_location: (each_location[0], -each_location[1]))

    return locations_list","def find_row(lst, target):
    # Initialize an empty list to store location tuples.
    locations_list = []

    # Iterate over each line and its index in the list.
    for line_index, current_line in enumerate(lst):
        # Iterate over each element and its index within the current line.
        for element_index, value in enumerate(current_line):
            # Check if the current element matches the target.
            if value == target:
                # Append a tuple of (row index, column index) to the locations list.
                locations_list.append((line_index, element_index))

    # Sort the list based on a custom ordering logic: first by row index, then by negative column index.
    locations_list.sort(key=lambda location: (location[0], -location[1]))

    return locations_list","Here is a paraphrased version of the Python code:

**Function to Retrieve Row Locations**
=====================================

### Purpose

Extracts row indices and corresponding column indices where a specific value `x` is found in a 2D list.

### Parameters

* `lst`: The input 2D list
* `x`: The target value to search for

### Return Value

A sorted list of tuples, where each tuple contains the row index and column index of the target value `x`

**Implementation**

1. Initialize an empty list `locations_list` to store the locations of `x`.
2. Iterate over each line (`idx_line`, `input_line`) in `lst`. For each line:
	* Iterate over each element (`idx_data_element`, `data_element`) in the line.
	* If `data_element` matches `x`, append a tuple containing the row index and column index to `locations_list`.
3. Sort `locations_list` based on the row index (stable sort) and reverse column index using a lambda function.

Note: The code uses a stable sort algorithm, ensuring that tuples with equal row indices are ordered by their original order in the list."
99,"    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res

","import math

def closest_integer(given_input_data):
    # Locate decimal data.
    actual_decimal_data = float(given_input_data)

    # Locate lower integer element.
    lower_integer_element = math.floor(actual_decimal_data)
    # Locate upper integer element.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Do data gap, lower.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Do data gap, upper.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Logic, dealing equidistant items.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:  # Equidistant case
        # If equidistant, adjust.
        if actual_decimal_data >= 0:
            # Positive, upward adjustment.
            return int(upper_integer_element)
        else:
            # Less, downward adjustment.
            return int(lower_integer_element)","import math

def closest_integer(given_input_data):
    # Convert the input data to a floating-point number.
    actual_decimal_data = float(given_input_data)

    # Find the lower integer value.
    lower_integer_element = math.floor(actual_decimal_data)
    # Find the upper integer value.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Calculate the distance between the decimal and the lower integer.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Calculate the distance between the decimal and the upper integer.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Determine which integer is closer to the decimal value.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:
        # In case of equidistance, decide based on sign.
        if actual_decimal_data >= 0:
            # If positive, use the upper integer.
            return int(upper_integer_element)
        else:
            # If negative, use the lower integer.
            return int(lower_integer_element)","import math

def round_to_nearest_integer(input_data):
    # Convert to float and calculate bounds
    decimal_input = float(input_data)
    lower_bound = math.floor(decimal_input)
    upper_bound = math.ceil(decimal_input)

    # Calculate distances
    lower_distance = decimal_input - lower_bound
    upper_distance = upper_bound - decimal_input

    # Determine which bound is closer
    if lower_distance < upper_distance:
        return int(lower_bound)
    elif upper_distance < lower_distance:
        return int(upper_bound)
    else:  # Equidistant case
        # Round up for positive numbers, down for negative
        if decimal_input >= 0:
            return int(upper_bound)
        else:
            return int(lower_bound)"
41,"    return n**2
","def car_race_collision(n: int):
    # a general explanation:
    # each 'auto', driving left, involves an 'encounter'.
    # involving all 'autos' going, also.
    # an equal 'amount' of left-going 'autos' exists.
    # an equal 'amount' of 'autos' in other direction exists.
    # a grand outcome: 'n' x 'n'.
    all_impacts = n * n # a local 'equation' gives all 'impacts'.
    return all_impacts","def car_race_encounters(n: int):
    # A general explanation:
    # Each ""auto"" driving left is involved in an ""encounter"".
    # Involving all ""autos"" going involves.
    # An equal number of ""autos"" driving left exists.
    # An equal number of ""autos"" in the opposite direction exists.
    # The total outcome: ""n"" squared.
    total_encounters = n * n  # A local equation determines all encounters.
    return total_encounters","def car_race_collision(num_cars: int) -> int:
    """"""
    Calculate the total number of potential collisions in a car racing scenario.
    
    Parameters:
    num_cars (int): The number of cars on the road.
    
    Returns:
    int: The total number of potential collisions.
    """"""
    return num_cars ** 2"
128,"    if not arr: return None
    prod = 0 if 0 in arr else (-1) ** len(list(filter(lambda x: x < 0, arr)))
    return prod * sum([abs(i) for i in arr])
","def prod_signs(arr):
    # Determine if input data list is empty.
    if len(arr) == 0:
        return None

    overall_product_indicator = 1  # Initialize overall product indicator.
    add_up_absolute_elements = 0   # Initialize accumulator, obtains absolute elements.

    for each_digit in arr:
        # Obtain digit polarity unit.
        digit_polarity_unit = 0
        if each_digit > 0:
            digit_polarity_unit = 1
        elif each_digit < 0:
            digit_polarity_unit = -1
        # If each_digit is 0, digit_polarity_unit remains 0,
        # leading to an overall_product_indicator of 0.

        # Update overall product indicator.
        overall_product_indicator *= digit_polarity_unit
        
        # Update absolute overall accumulator.
        add_up_absolute_elements += abs(each_digit)

    # Generate output.
    return overall_product_indicator * add_up_absolute_elements","def prod_signs(arr):
    # Check if the input array is empty.
    if not arr:
        return None

    # Initialize variables to track the overall product and sum of absolute values.
    product_sign = 1           # Start with an overall product indicator as 1.
    total_abs_sum = 0          # Accumulate the sum of absolute values.

    # Iterate through each element in the array.
    for num in arr:
        # Determine the polarity unit based on the sign of the number.
        if num > 0:
            polarity_unit = 1      # Positive numbers contribute 1 to the product.
        elif num < 0:
            polarity_unit = -1     # Negative numbers contribute -1 to the product.
        
        # If the number is zero, it does not affect the overall product but increases the sum of absolute values.
        
        # Update the overall product indicator by multiplying with the polarity unit.
        product_sign *= polarity_unit
        
        # Add the absolute value of the current number to the total sum of absolute values.
        total_abs_sum += abs(num)

    # Compute the final result by multiplying the overall product and the sum of absolute values.
    return product_sign * total_abs_sum","def prod_signs(arr):
    """"""
    Calculate the product of signs in an input array and sum of absolute values.

    Args:
        arr (list): Input list of numbers

    Returns:
        int or None: Overall product indicator multiplied by sum of absolute elements, or None if input is empty.
    """"""

    # Handle empty input
    if not arr:
        return None

    sign_product = 1  # Initialize overall product indicator
    abs_sum = 0       # Initialize accumulator for sum of absolute values

    for num in arr:
        # Determine the sign unit for each number (1 for positive, -1 for negative)
        sign_unit = 1 if num > 0 else -1 if num < 0 else 0
        
        # Update overall product indicator
        sign_product *= sign_unit
        
        # Add absolute value to accumulator
        abs_sum += abs(num)

    # Return final result as the product of signs multiplied by sum of absolutes
    return sign_product * abs_sum"
49,"    ret = 1
    for i in range(n):
        ret = (2 * ret) % p
    return ret
","def modp(input_exponent: int, p: int):
    # Operates outcome_element, initially one.
    outcome_element = 1
    # Local operand unit, always duo.
    local_operand_unit = 2
    # Local exponent, duplicates input_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, duplicates outcome_element using local_operand_unit.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies p division.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Adjusts local_exponent.
        local_exponent = local_exponent // 2
    return outcome_element","def modp(input_exponent: int, p: int):
    # Initializes outcome_element to 1.
    outcome_element = 1
    # Sets local_operand_unit to 2.
    local_operand_unit = 2
    # Creates a copy of input_exponent called local_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, multiplies outcome_element by local_operand_unit and then takes modulo p.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies modulo p to ensure it remains within bounds.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Reduces local_exponent by halving it, using integer division.
        local_exponent //= 2

    return outcome_element","Here is a paraphrased version of the Python code:

**Modular Exponentiation Function**

This function calculates `outcome_element` raised to the power of `input_exponent`, modulo `p`.

### Parameters:
- `input_exponent`: The exponent to which `outcome_element` should be raised.
- `p`: The modulus for the calculation.

### Step-by-Step Explanation:

1. Initialize `outcome_element` to 1 and `local_operand_unit` to 2, as these are the initial values required for the calculation.
2. Reduce `input_exponent` by repeatedly dividing it by 2 until it becomes 0. This is done using a while loop.
3. Inside the loop:
	* If `local_exponent` is odd (i.e., its remainder when divided by 2 is 1), multiply `outcome_element` by `local_operand_unit` and take the modulus with `p`. This effectively doubles the value of `outcome_element` for each odd power.
	* Double `local_operand_unit` by squaring it and taking the modulus with `p`.
	* Reduce `local_exponent` by dividing it by 2 using integer division (`//`).

### Return Value:
The function returns the final value of `outcome_element`, which is the result of raising `1` to the power of `input_exponent`, modulo `p`.

This code implements the ""Exponentiation by squaring"" algorithm, a method for computing large powers with minimal multiplications."
110,"    odd = 0
    even = 0
    for i in lst1:
        if i%2 == 1:
            odd += 1
    for i in lst2:
        if i%2 == 0:
            even += 1
    if even >= odd:
        return ""YES""
    return ""NO""
            
","def exchange(lst1, lst2):
    odd_elements_one = 0
    # Obtain count of odd elements in lst1.
    for ele_one in lst1:
        if ele_one % 2 != 0:
            odd_elements_one += 1

    even_elements_do = 0
    # Obtain count of even elements in lst2.
    for ele_do in lst2:
        if ele_do % 2 == 0:
            even_elements_do += 1
    
    # Judge if even elements available in lst2 are adequate for odd elements in lst1.
    if even_elements_do >= odd_elements_one:
        return ""YES""
    else:
        return ""NO""","def exchange(lst1, lst2):
    # Count the number of odd elements in lst1.
    odd_count_one = sum(1 for ele_one in lst1 if ele_one % 2 != 0)

    # Count the number of even elements in lst2.
    even_count_do = sum(1 for ele_do in lst2 if ele_do % 2 == 0)
    
    # Check if there are enough even elements in lst2 to match odd elements in lst1.
    if even_count_do >= odd_count_one:
        return ""YES""
    else:
        return ""NO""","Here is a paraphrased version of the Python code:

**Function: Exchange Validation**

The `exchange` function determines whether it's possible to exchange odd elements from list 1 with even elements from list 2.

**Parameters:**

* `lst1`: The first list, which may contain both odd and even elements.
* `lst2`: The second list, which must contain only even elements.

**Functionality:**

The function counts the number of odd elements in `lst1` and even elements in `lst2`. It then checks if there are enough even elements in `lst2` to exchange with the odd elements in `lst1`. If sufficient even elements exist, the function returns ""YES""; otherwise, it returns ""NO"".

**Notes:**

* The code uses a simple iteration approach to count the number of odd and even elements in each list.
* The condition `even_elements_do >= odd_elements_one` checks whether the number of available even elements is greater than or equal to the number of odd elements requiring exchange."
47,"    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
","def median(l: list):
    _ordered_data = sorted(l) # a local list, in an ordered way
    _data_length = len(_ordered_data) # get length of the list
    _index_point = _data_length // 2 # an index for the middle point

    if _data_length % 2 == 1:
        # odd length, just take the middle element
        _outcome_value = _ordered_data[_index_point]
    else:
        # even length, average the two middle elements
        _element_one = _ordered_data[_index_point - 1]
        _element_two = _ordered_data[_index_point]
        _outcome_value = (_element_one + _element_two) / 2.0
    
    return _outcome_value","def calculate_median(data):
    # Sort the list in ascending order
    sorted_data = sorted(data)
    
    # Determine the length of the sorted list
    data_length = len(sorted_data)
    
    # Calculate the index position of the middle element(s)
    index_position = data_length // 2
    
    if data_length % 2 == 1:
        # If the list has an odd number of elements, return the middle element
        result_value = sorted_data[index_position]
    else:
        # If the list has an even number of elements, average the two middle elements
        middle_element_one = sorted_data[index_position - 1]
        middle_element_two = sorted_data[index_position]
        result_value = (middle_element_one + middle_element_two) / 2.0
    
    return result_value","def calculate_median(data: list) -> float:
    # Sort the data in ascending order
    sorted_data = sorted(data)
    
    # Determine if the dataset has an odd or even number of elements
    num_elements = len(sorted_data)
    
    # Calculate the index of the middle element(s)
    midpoint_index = num_elements // 2
    
    # Handle odd and even length cases separately
    if num_elements % 2 == 1:
        # For odd length, return the middle element directly
        median_value = sorted_data[midpoint_index]
    else:
        # For even length, average the two middle elements
        prev_midpoint_element = sorted_data[midpoint_index - 1]
        midpoint_element = sorted_data[midpoint_index]
        median_value = (prev_midpoint_element + midpoint_element) / 2.0
    
    return median_value"
23,"    return len(string)
","def strlen(input_data: str) -> int:
    # An easy operation.
    # Acknowledging input_data's length.
    return len(input_data)","def compute_string_length(data: str) -> int:
    # A straightforward operation.
    # Measuring the length of the provided string data.
    return len(data)","def get_string_length(input_string: str) -> int:
    """"""
    Retrieves the total number of characters in a given input string.
    
    Args:
        input_string (str): The input string to calculate length for.
        
    Returns:
        int: The total number of characters in the input string.
    """"""
    return len(input_string)"
29,"    return [x for x in strings if x.startswith(prefix)]
","from typing import List


def filter_by_prefix(original_data_list: List[str], input_prefix_key: str) -> List[str]:
    # a list to keep eligible elements
    eligible_items_list = []
    for each_data_item in original_data_list:
        if each_data_item.startswith(input_prefix_key):
            # add an item if it opens with given prefix
            eligible_items_list.append(each_data_item)
    return eligible_items_list","from typing import List


def select_with_prefix(original_data: List[str], search_key: str) -> List[str]:
    # Create a list to store items that match the prefix
    matching_items = []
    for item in original_data:
        if item.startswith(search_key):
            # Append an item if it starts with the specified prefix
            matching_items.append(item)
    return matching_items","def filter_by_prefix(data: List[str], prefix: str) -> List[str]:
    """"""
    Filters out data items that do not match the given prefix.

    Args:
        data (List[str]): The original list of strings to filter.
        prefix (str): The prefix to search for in each string.

    Returns:
        List[str]: A new list containing only elements that start with the prefix.
    """"""
    eligible_items = [item for item in data if item.startswith(prefix)]
    return eligible_items"
98,"    count = 0
    for i in range(0,len(s),2):
        if s[i] in ""AEIOU"":
            count += 1
    return count
","def count_upper(input_data):
    # Initializes a counter for applicable units.
    good_upper_count = 0
    # Gathers all upper vowels for comparison.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterates through each unit in the input data with its index.
    for i, data_unit in enumerate(input_data):
        # Examines if the unit's index is even.
        if i % 2 == 0:
            # Judges if the unit is an uppercase vowel.
            if data_unit in all_upper_vowels:
                good_upper_count += 1
    
    return good_upper_count","def count_uppercase(input_data):
    # Initialize a counter to keep track of valid uppercase vowels.
    good_uppercase_count = 0
    # Define a set containing all uppercase vowels for easy lookup.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterate over each unit in the input data along with its index.
    for index, current_unit in enumerate(input_data):
        # Check if the index is even.
        if index % 2 == 0:
            # Verify if the current unit is an uppercase vowel.
            if current_unit in all_upper_vowels:
                good_uppercase_count += 1

    return good_uppercase_count","Here's a paraphrased version of the Python code:

**Function: Count Uppercase Vowels**

This function takes in a list of characters (`input_data`) and returns the count of uppercase vowels present in every other element (i.e., at even indices) of the input data.

**Code Breakdown:**

1. Initialize a counter `good_upper_count` to store the number of uppercase vowels.
2. Define a set `all_upper_vowels` containing all uppercase vowel characters for efficient lookup.
3. Iterate through each character (`data_unit`) in `input_data`, along with its index (`i`).
4. Check if the current index is even (i.e., `i % 2 == 0`). If so, proceed to the next step.
5. If the character is an uppercase vowel (i.e., present in `all_upper_vowels`), increment the counter `good_upper_count`.
6. Return the total count of uppercase vowels found.

Note: The original code has a minor issue - it checks for even indices using `if i % 2 == 0`, which means every other element will be considered, starting from the first one (index 0). If you intended to consider only odd indices, replace `% 2` with `% 3`."
