task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,0.9651624016394658,0.5177220230983672,0.5177220230983672,0.2859033604060856,binomial,1.0,1,1,False,n,2.5233378371957733,0.00944142919301999,0.00944142919301999,2.024962259551362,binomial,0.8235294117647058,17,14,True,ainop
3,6,0,6,100.0,True,1.6717103171947536,0.13876818843543845,0.13876818843543845,0.8577100812182572,binomial,1.0,3,3,False,bo,0.704697756469305,0.3365741341607382,0.3365741341607382,0.4729192627597646,binomial,0.6153846153846154,13,8,False,alo
4,3,0,3,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,mnx,1.671168085347745,0.0772766889120215,0.0772766889120215,1.1119514944865145,binomial,0.7333333333333333,15,11,False,alno
6,3,0,3,100.0,True,-0.47203720343165834,0.8014712610279394,0.8014712610279394,0.0961120458622411,binomial,0.42857142857142855,7,3,False,cdmpsx,2.4192583236525778,0.014270915067971904,0.014270915067971904,1.845548178516094,binomial,0.9,10,9,True,alops
11,3,0,3,100.0,True,0.2843670198082226,0.5387182600976891,0.5387182600976891,0.26863830359779106,binomial,0.5714285714285714,7,4,False,abijxy,3.0521115011389437,0.0013834593279913065,0.0013834593279913065,2.8590336040608575,binomial,1.0,10,10,True,abop
15,3,0,3,100.0,True,-0.05015696634513217,0.7674079529956681,0.7674079529956681,0.11497370432425989,binomial,0.5,2,1,False,nx,1.5471454639361357,0.1268862479246791,0.1268862479246791,0.8965854446828001,binomial,0.8333333333333334,6,5,False,nos
19,5,0,5,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,nvx,2.7298915165822417,0.005161466545304072,0.005161466545304072,2.2872268832486857,binomial,1.0,8,8,True,nos
21,5,0,5,100.0,True,-1.0715613947186309,0.9459009396703347,0.9459009396703347,0.024154343098414004,binomial,0.25,4,1,False,mnx,2.7046129966414747,0.005459049480975469,0.005459049480975469,2.262882969219004,binomial,0.8666666666666667,15,13,True,belnos
28,3,0,3,100.0,True,0.9651624016394658,0.5177220230983672,0.5177220230983672,0.2859033604060856,binomial,1.0,1,1,False,s,0.22714391780945314,0.5435398205733135,0.5435398205733135,0.26476863332239053,binomial,0.5555555555555556,9,5,False,ilos
29,2,0,2,100.0,True,0.5162837808677437,0.5265719027323218,0.5265719027323218,0.27854231806295243,binomial,0.6666666666666666,3,2,False,psx,0.6072374296278622,0.4026852448809126,0.4026852448809126,0.3950342834399974,binomial,0.625,8,5,False,ilops
30,4,0,4,100.0,True,-0.05015696634513217,0.7674079529956681,0.7674079529956681,0.11497370432425989,binomial,0.5,2,1,False,el,0.7301355249364223,0.3775391159621101,0.3775391159621101,0.42303804544821694,binomial,0.6666666666666666,6,4,False,lno
35,2,0,2,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,elm,1.2631791928006741,0.21043720393715618,0.21043720393715618,0.6768774772737159,binomial,0.8,5,4,False,bio
43,9,0,9,100.0,True,-0.0709326620527768,0.7136010934983614,0.7136010934983614,0.14654449313313783,binomial,0.5,4,2,False,ijl,3.201081547996407,0.000716247362161967,0.000716247362161967,3.144936964466943,binomial,1.0,11,11,True,aops
