task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
590,0,0,0,0,True,0.6378821621548074,0.3827973172052836,0.3827973172052836,0.41703111459170455,binomial,0.5,8,4,False,cprxy,0.7812429066512787,0.3086537710471029,0.3086537710471029,0.5105284125736156,binomial,0.5,12,6,False,acmprsxy
776,0,0,0,0,True,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,irtv,-0.08698393120292837,0.6633607218877899,0.6633607218877899,0.1782502469745093,binomial,0.375,8,3,False,chprstv
728,0,0,0,0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,ilr,-0.25205574049995677,0.6942841752327424,0.6942841752327424,0.15846273347226736,binomial,0.35714285714285715,14,5,False,abfilprst
627,0,0,0,0,True,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,5,3,False,aefms,-0.6084359691703024,0.8122789620641132,0.8122789620641132,0.09029479479936767,binomial,0.3076923076923077,13,4,False,eflmnrst
733,0,0,0,0,True,-0.2845811112060343,0.7508440912050001,0.7508440912050001,0.12445023258132774,binomial,0.3333333333333333,6,2,False,almrx,-0.179268685624284,0.6795826975441006,0.6795826975441006,0.16775768697894702,binomial,0.36363636363636365,11,4,False,bflmrst
57,0,0,0,0,True,2.5012817227194253,0.023134410000000005,0.023134410000000005,1.6357415718940032,binomial,1.0,4,4,False,ain,-0.4499622452363682,0.7587093288426708,0.7587093288426708,0.11992457595967519,binomial,0.3333333333333333,15,5,False,bcdrstxy
166,0,0,0,0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,aij,1.3615138818393888,0.15000684625509092,0.15000684625509092,0.8238889194579406,binomial,0.6,10,6,False,cenost
468,0,0,0,0,True,3.063431961806135,0.003518743761000001,0.003518743761000001,2.4536123578410045,binomial,1.0,6,6,True,acijmn,0.9021016049152025,0.25621576247221134,0.25621576247221134,0.5913941558398574,binomial,0.5,16,8,False,adijmnprt
573,0,0,0,0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,ilpt,1.0570670773018125,0.22489917896571815,0.22489917896571815,0.6480121300303924,binomial,0.5454545454545454,11,6,False,cmnoprtu
629,0,0,0,0,True,1.2506408613597126,0.39,0.39,0.4089353929735008,binomial,1.0,1,1,False,n,-1.0319495631984517,0.9210165870451202,0.9210165870451202,0.03573254830771216,binomial,0.2222222222222222,9,2,False,defnt
620,0,0,0,0,True,2.2264286935530926,0.03654080059500001,0.03654080059500001,1.4372219416528353,binomial,0.8333333333333334,6,5,False,adijmn,1.9272170650461147,0.04912301484159748,0.04912301484159748,1.3087149869627794,binomial,0.625,16,10,False,cdeijlmnpst
84,0,0,0,0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,ns,0.6087724494374386,0.3594846064729503,0.3594846064729503,0.44431970185130487,binomial,0.4666666666666667,15,7,False,eilnprst
788,0,0,0,0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,t,2.1968744914481486,0.028132206555167804,0.028132206555167804,1.5507962025255069,binomial,0.6666666666666666,15,10,False,cfirst
746,0,0,0,0,True,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,ampr,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,7,3,False,afmprst
271,0,0,0,0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,ijn,0.7131739381063464,0.3420384685900325,0.3420384685900325,0.46592504670160456,binomial,0.5,10,5,False,einrstv
87,0,0,0,0,True,0.552422157047008,0.43495122879000003,0.43495122879000003,0.36155943788410755,binomial,0.5,6,3,False,cdm,-0.9943091539198088,0.9053714960533603,0.9053714960533603,0.04317318258386646,binomial,0.25,12,3,False,bdfmr
457,0,0,0,0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,l,0.7812429066512787,0.3086537710471029,0.3086537710471029,0.5105284125736156,binomial,0.5,12,6,False,cfilmrst
619,0,0,0,0,True,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,deirt,0.1893922197942495,0.5332265234411455,0.5332265234411455,0.2730882562993627,binomial,0.4166666666666667,12,5,False,cdeilmrst
748,0,0,0,0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,s,1.7016916638173138,0.08861968829556041,0.08861968829556041,1.052469781857512,binomial,0.6666666666666666,9,6,False,acirst
801,0,0,0,0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,rxyz,-0.3485392564445103,0.7489325603159545,0.7489325603159545,0.1255572877762245,binomial,0.3333333333333333,9,3,False,abcrt
587,0,0,0,0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,lt,1.6752349587648607,0.08759656899623493,0.08759656899623493,1.0575129040509126,binomial,0.6363636363636364,11,7,False,deilmns
293,0,0,0,0,True,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,hmsw,0.43889919583876424,0.4396545432769612,0.4396545432769612,0.35688843459522906,binomial,0.45454545454545453,11,5,False,dfhilmst
474,0,0,0,0,True,2.5012817227194253,0.023134410000000005,0.023134410000000005,1.6357415718940032,binomial,1.0,4,4,False,cns,-0.08500544252406493,0.6149367088243344,0.6149367088243344,0.21116958084705464,binomial,0.38095238095238093,21,8,False,bcinoprst
432,0,0,0,0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,bhm,-0.179268685624284,0.6795826975441006,0.6795826975441006,0.16775768697894702,binomial,0.36363636363636365,11,4,False,bdkmrtv
249,0,0,0,0,True,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,arx,2.158930511097765,0.02867126621417835,0.02867126621417835,1.5425531268063057,binomial,0.631578947368421,19,12,False,acefilnsw
267,0,0,0,0,True,1.2506408613597126,0.39,0.39,0.4089353929735008,binomial,1.0,1,1,False,n,2.0098538255724314,0.047694916322540096,0.047694916322540096,1.3215279088157974,binomial,0.7,10,7,False,binostv
18,0,0,0,0,True,1.0974592714940965,0.20647316870781346,0.20647316870781346,0.6851363771273967,binomial,0.5384615384615384,13,7,False,gilnrstx,-0.6355715852811656,0.8122993429818386,0.8122993429818386,0.09028389803917183,binomial,0.3125,16,5,False,cfmorst
444,0,0,0,0,True,0.04584455707277373,0.6455464704,0.6455464704,0.19007248908792793,binomial,0.4,5,2,False,eknrt,-0.6084359691703024,0.8122789620641132,0.8122789620641132,0.09029479479936767,binomial,0.3076923076923077,13,4,False,dkorst
723,0,0,0,0,True,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,enr,1.0570670773018125,0.22489917896571815,0.22489917896571815,0.6480121300303924,binomial,0.5454545454545454,11,6,False,aclmrtv
784,0,0,0,0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,efl,-0.3485392564445103,0.7489325603159545,0.7489325603159545,0.1255572877762245,binomial,0.3333333333333333,9,3,False,finrt
419,0,0,0,0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,lr,0.1893922197942495,0.5332265234411455,0.5332265234411455,0.2730882562993627,binomial,0.4166666666666667,12,5,False,ilnprst
284,0,0,0,0,True,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,cev,-0.08698393120292837,0.6633607218877899,0.6633607218877899,0.1782502469745093,binomial,0.375,8,3,False,aeirt
270,0,0,0,0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,ai,-0.40245846706277966,0.7527607845955782,0.7527607845955782,0.1233430137536979,binomial,0.3333333333333333,12,4,False,bdnprst
171,0,0,0,0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,ap,-0.5656875480065078,0.82792194963426,0.82792194963426,0.08201060336110197,binomial,0.2857142857142857,7,2,False,dprst
140,0,0,0,0,True,-0.2845811112060343,0.7508440912050001,0.7508440912050001,0.12445023258132774,binomial,0.3333333333333333,6,2,False,aeirt,0.43889919583876424,0.4396545432769612,0.4396545432769612,0.35688843459522906,binomial,0.45454545454545453,11,5,False,adfnrs
452,0,0,0,0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,as,0.06483399437330402,0.5923360959924134,0.5923360959924134,0.22743180135758673,binomial,0.4,10,4,False,bcdlps
478,0,0,0,0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,s,-0.8118500245606641,0.8827756922164167,0.8827756922164167,0.05414963391729168,binomial,0.25,8,2,False,cirt
111,0,0,0,0,True,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,inr,1.7016916638173138,0.08861968829556041,0.08861968829556041,1.052469781857512,binomial,0.6666666666666666,9,6,False,cfilns
743,0,0,0,0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,mr,-2.1732447754775337,0.995872965525935,0.995872965525935,0.001796057047927805,binomial,0.125,16,2,False,dlnrst
456,0,0,0,0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,rsx,1.0182813570633724,0.24602265742256166,0.24602265742256166,0.6090248947646195,binomial,0.5555555555555556,9,5,False,aers
454,0,0,0,0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,pst,1.3627482555125432,0.15857656346311655,0.15857656346311655,0.7997609980445968,binomial,0.625,8,5,False,cfpstw
273,0,0,0,0,True,0.04584455707277373,0.6455464704,0.6455464704,0.19007248908792793,binomial,0.4,5,2,False,ijrt,-0.9793295925732716,0.8961196215072035,0.8961196215072035,0.047634013225243355,binomial,0.26666666666666666,15,4,False,abdfnprst
71,0,0,0,0,True,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,gins,0.5288275246059635,0.3962371444807795,0.3962371444807795,0.4020448147972261,binomial,0.46153846153846156,13,6,False,degknrstwx
578,0,0,0,0,True,-1.958587647712119,1.0,1.0,-0.0,binomial,0.0,6,0,False,elpr,0.6812380316688893,0.3278154943127238,0.3278154943127238,0.48437052320149343,binomial,0.47058823529411764,17,8,False,bcdfilprst
473,0,0,0,0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,ert,0.2958915214564711,0.48305416339691143,0.48305416339691143,0.31600417039636197,binomial,0.42857142857142855,14,6,False,bcdist
625,0,0,0,0,True,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,nst,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,7,3,False,elnst
458,0,0,0,0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,abl,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,7,3,False,acelrtw
429,0,0,0,0,True,-1.7879377258381821,1.0,1.0,-0.0,binomial,0.0,5,0,False,ert,0.8678304790107854,0.25402887060599183,0.25402887060599183,0.5951169226227885,binomial,0.4782608695652174,23,11,False,cdefikmnrstv
615,0,0,0,0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,nrx,-0.40245846706277966,0.7527607845955782,0.7527607845955782,0.1233430137536979,binomial,0.3333333333333333,12,4,False,acdrst
584,0,0,0,0,True,-0.2845811112060343,0.7508440912050001,0.7508440912050001,0.12445023258132774,binomial,0.3333333333333333,6,2,False,efgmst,0.2775095863938302,0.4761783401100943,0.4761783401100943,0.32223036320372184,binomial,0.42105263157894735,19,8,False,adefgimprstw
11,0,0,0,0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,cis,-1.715359869952393,0.9883058539071659,0.9883058539071659,0.005108632225850887,binomial,0.1111111111111111,9,1,False,cflrt
93,0,0,0,0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,abp,-1.715359869952393,0.9883058539071659,0.9883058539071659,0.005108632225850887,binomial,0.1111111111111111,9,1,False,abert
422,0,0,0,0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,in,2.0098538255724314,0.047694916322540096,0.047694916322540096,1.3215279088157974,binomial,0.7,10,7,False,afinst
389,0,0,0,0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,fn,-0.179268685624284,0.6795826975441006,0.6795826975441006,0.16775768697894702,binomial,0.36363636363636365,11,4,False,celnprst
725,0,0,0,0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,ft,-0.6632008759581369,0.814302580582372,0.814302580582372,0.08921418889510534,binomial,0.3157894736842105,19,6,False,abcefimpqrtv
265,0,0,0,0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,is,1.3730935935083077,0.1411445868843334,0.1411445868843334,0.8503357730703273,binomial,0.5833333333333334,12,7,False,cdilnprsw
612,0,0,0,0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,el,-0.5656875480065078,0.82792194963426,0.82792194963426,0.08201060336110197,binomial,0.2857142857142857,7,2,False,fprst
