task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,1.1687652812910225,0.21592408800734436,0.21592408800734436,0.6656989060440506,binomial,0.7142857142857143,7,5,False,deint,-0.5318703749560224,0.7931968688153881,0.7931968688153881,0.1006190088627042,binomial,0.4166666666666667,12,5,False,gilnot
2,3,0,3,100.0,True,1.0132296790790258,0.49342891278375156,0.49342891278375156,0.3067754063368589,binomial,1.0,1,1,False,n,2.265650439240998,0.029249804542268297,0.029249804542268297,1.5338770316842945,binomial,1.0,5,5,False,ino
3,6,0,6,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,bo,0.3451288121499928,0.4822169810137238,0.4822169810137238,0.31675750024079924,binomial,0.5454545454545454,11,6,False,alo
4,3,0,3,100.0,True,-0.554635254817953,0.8700066320728034,0.8700066320728034,0.0604774367358138,binomial,0.3333333333333333,3,1,False,mnx,1.0526596076280914,0.2115095985044138,0.2115095985044138,0.6746699191498702,binomial,0.625,16,10,False,aeln
5,3,0,3,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,dnr,1.4515106005249938,0.1360761953304493,0.1360761953304493,0.866217842032839,binomial,0.75,8,6,False,dlno
6,3,0,3,100.0,True,-0.34322318925084183,0.7625157735301114,0.7625157735301114,0.11775116799923138,binomial,0.42857142857142855,7,3,False,cdmpsx,2.722021012628598,0.005643915797406938,0.005643915797406938,2.248419474186704,binomial,0.8571428571428571,14,12,True,ilops
9,4,0,4,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,nr,1.4515106005249938,0.1360761953304493,0.1360761953304493,0.866217842032839,binomial,0.75,8,6,False,lno
11,3,0,3,100.0,True,-0.34322318925084183,0.7625157735301114,0.7625157735301114,0.11775116799923138,binomial,0.42857142857142855,7,3,False,abijxy,2.9325304331232784,0.002774512701055915,0.002774512701055915,2.556813282748942,binomial,0.9166666666666666,12,11,True,abiops
13,4,0,4,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,ab,1.4515106005249938,0.1360761953304493,0.1360761953304493,0.866217842032839,binomial,0.75,8,6,False,abin
15,3,0,3,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,nx,1.3711459969557551,0.17939407967449295,0.17939407967449295,0.7461918935501477,binomial,0.8,5,4,False,ino
19,5,0,5,100.0,True,-0.554635254817953,0.8700066320728034,0.8700066320728034,0.0604774367358138,binomial,0.3333333333333333,3,1,False,nvx,2.7223135534603116,0.005468838644933332,0.005468838644933332,2.262104890055393,binomial,0.8235294117647058,17,14,True,nps
21,5,0,5,100.0,True,-0.9737997505299604,0.9341491182782182,0.9341491182782182,0.029583791782556167,binomial,0.25,4,1,False,mnx,3.498823584072957,0.0002977784281579271,0.0002977784281579271,3.526106766863591,binomial,0.8947368421052632,19,17,True,eilnops
22,3,0,3,100.0,True,-0.9869430600463155,1.0,1.0,-0.0,binomial,0.0,1,0,False,x,1.7062405444868498,0.0835438501682706,0.0835438501682706,1.0780855138889045,binomial,0.7777777777777778,9,7,False,ail
26,3,0,3,100.0,True,-0.41786288761473156,0.8041782023828973,0.8041782023828973,0.09464770282366135,binomial,0.4,5,2,False,cn,2.89133691186675,0.0031798192961263456,0.0031798192961263456,2.497597559551747,binomial,0.8666666666666667,15,13,True,aeklnps
28,3,0,3,100.0,True,1.0132296790790258,0.49342891278375156,0.49342891278375156,0.3067754063368589,binomial,1.0,1,1,False,s,0.3727920517366224,0.48383268848637306,0.48383268848637306,0.3153047933745599,binomial,0.5555555555555556,9,5,False,los
29,2,0,2,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,psx,3.7702547502764934,8.808843445333237e-05,8.808843445333237e-05,4.05508110841906,binomial,0.9047619047619048,21,19,True,ejklops
30,4,0,4,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,el,0.4766415546705117,0.4876806300670509,0.4876806300670509,0.3118644935822155,binomial,0.6,5,3,False,lnp
35,2,0,2,100.0,True,-0.554635254817953,0.8700066320728034,0.8700066320728034,0.0604774367358138,binomial,0.3333333333333333,3,1,False,elm,0.8487615032268792,0.331511577060546,0.331511577060546,0.47950130054512263,binomial,0.6666666666666666,6,4,False,elp
37,3,0,3,100.0,True,1.665328604607222,0.10333533098146634,0.10333533098146634,0.985751165151437,binomial,0.8333333333333334,6,5,False,aelo,3.2041135787711794,0.0008555510657608991,0.0008555510657608991,3.067754063368589,binomial,1.0,10,10,True,eiop
38,0,1,1,0.0,False,1.432923153952497,0.2434720919709551,0.2434720919709551,0.6135508126737178,binomial,1.0,2,2,False,es,-0.34322318925084183,0.7625157735301114,0.7625157735301114,0.11775116799923138,binomial,0.42857142857142855,7,3,False,gis
43,9,0,9,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,ijl,2.722021012628598,0.005643915797406938,0.005643915797406938,2.248419474186704,binomial,0.8571428571428571,14,12,True,ailos
45,3,0,3,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,ah,0.032194401846536304,0.6438496830735557,0.6438496830735557,0.19121551374521262,binomial,0.5,6,3,False,ah
46,4,0,4,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,nr,2.9325304331232784,0.002774512701055915,0.002774512701055915,2.556813282748942,binomial,0.9166666666666666,12,11,True,np
47,5,0,5,100.0,True,-0.9869430600463155,1.0,1.0,-0.0,binomial,0.0,1,0,False,l,0.6229298944037445,0.3695408492134216,0.3695408492134216,0.4323375475061876,binomial,0.5833333333333334,12,7,False,ilos
49,7,0,7,100.0,True,1.026372988595381,0.3027086998315161,0.3027086998315161,0.5189750972643504,binomial,0.75,4,3,False,inpr,-1.223457519818524,0.9405382748546708,0.9405382748546708,0.026623526301853058,binomial,0.3,10,3,False,anp
50,0,1,1,0.0,False,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,cs,2.3748945313220484,0.015500301802529304,0.015500301802529304,1.8096598457073172,binomial,0.8,15,12,True,cinos
51,7,0,7,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,st,2.865846307904994,0.0035139594802633956,0.0035139594802633956,2.454203250694871,binomial,1.0,8,8,True,ikos
52,6,0,6,100.0,True,-0.554635254817953,0.8700066320728034,0.8700066320728034,0.0604774367358138,binomial,0.3333333333333333,3,1,False,elt,-1.099217424521774,0.9330731374405506,0.9330731374405506,0.03008431344324718,binomial,0.2857142857142857,7,2,False,lnt
56,12,0,12,100.0,True,-1.7094355241777197,1.0,1.0,-0.0,binomial,0.0,3,0,False,bd,1.039516298111736,0.24114088565480668,0.24114088565480668,0.6177291483580153,binomial,0.6666666666666666,9,6,False,abo
59,5,0,5,100.0,True,1.665328604607222,0.10333533098146634,0.10333533098146634,0.985751165151437,binomial,0.8333333333333334,6,5,False,ijkln,1.9247595165619547,0.058299828171115134,0.058299828171115134,1.2343327252486447,binomial,0.8571428571428571,7,6,False,inop
60,5,0,5,100.0,True,1.0132296790790258,0.49342891278375156,0.49342891278375156,0.3067754063368589,binomial,1.0,1,1,False,n,2.4818957059875646,0.014432699254428683,0.014432699254428683,1.8406524380211535,binomial,1.0,6,6,True,ino
62,5,0,5,100.0,True,-0.554635254817953,0.8700066320728034,0.8700066320728034,0.0604774367358138,binomial,0.3333333333333333,3,1,False,ix,-0.960656441013605,0.9035163434373883,0.9035163434373883,0.04406398720877474,binomial,0.3333333333333333,9,3,False,nox
63,7,0,7,100.0,True,0.018587446572496825,0.7433857335965481,0.7433857335965481,0.12878577775703723,binomial,0.5,2,1,False,fn,0.7455970031869661,0.30324453332318313,0.30324453332318313,0.5182070195429245,binomial,0.5789473684210527,19,11,False,inp
64,8,0,8,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,cnsv,2.5527891619720973,0.009259101584231988,0.009259101584231988,2.0334311511085015,binomial,0.8125,16,13,True,aps
65,5,0,5,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,sx,2.722021012628598,0.005643915797406938,0.005643915797406938,2.248419474186704,binomial,0.8571428571428571,14,12,True,einosx
66,10,0,10,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,cis,-0.20731737140145773,0.67808243212214,0.67808243212214,0.16871750725438311,binomial,0.4666666666666667,15,7,False,iops
67,7,0,7,100.0,True,1.3711459969557551,0.17939407967449295,0.17939407967449295,0.7461918935501477,binomial,0.8,5,4,False,ilns,3.098503456302759,0.0014745449653883614,0.0014745449653883614,2.8313419793534256,binomial,0.9230769230769231,13,12,True,aimnops
68,10,0,10,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,aex,2.6807537518328868,0.007121511101647607,0.007121511101647607,2.1474278443580124,binomial,1.0,7,7,True,ainos
69,25,0,25,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,afil,3.0396890372370775,0.001733889205912524,0.001733889205912524,2.76097865703173,binomial,1.0,9,9,True,einop
72,6,0,6,100.0,True,0.02628661903271031,0.6775791734565587,0.6775791734565587,0.1690399512486256,binomial,0.5,4,2,False,ijqw,1.1687652812910225,0.21592408800734436,0.21592408800734436,0.6656989060440506,binomial,0.7142857142857143,7,5,False,eiqw
74,11,0,11,100.0,True,-1.3123673298999747,0.9666418472520484,0.9666418472520484,0.014734407586076472,binomial,0.2,5,1,False,ls,1.1687652812910225,0.21592408800734436,0.21592408800734436,0.6656989060440506,binomial,0.7142857142857143,7,5,False,ils
76,10,0,10,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,npx,-1.2402021324908603,0.9345021286427957,0.9345021286427957,0.029419705032321716,binomial,0.3333333333333333,15,5,False,npx
80,8,0,8,100.0,True,1.432923153952497,0.2434720919709551,0.2434720919709551,0.6135508126737178,binomial,1.0,2,2,False,is,2.4129885186841578,0.013417296260469733,0.013417296260469733,1.8723349906841569,binomial,0.7777777777777778,18,14,True,ainps
81,7,0,7,100.0,True,-1.7094355241777197,1.0,1.0,-0.0,binomial,0.0,3,0,False,gl,1.3711459969557551,0.17939407967449295,0.17939407967449295,0.7461918935501477,binomial,0.8,5,4,False,agio
82,16,0,16,100.0,True,0.6001650145418139,0.4901439366440373,0.4901439366440373,0.3096763654596205,binomial,0.6666666666666666,3,2,False,ils,1.4515106005249938,0.1360761953304493,0.1360761953304493,0.866217842032839,binomial,0.75,8,6,False,ps
83,7,0,7,100.0,True,1.0132296790790258,0.49342891278375156,0.49342891278375156,0.3067754063368589,binomial,1.0,1,1,False,n,3.2041135787711794,0.0008555510657608991,0.0008555510657608991,3.067754063368589,binomial,1.0,10,10,True,aenos
86,8,0,8,100.0,True,1.432923153952497,0.2434720919709551,0.2434720919709551,0.6135508126737178,binomial,1.0,2,2,False,is,3.2041135787711794,0.0008555510657608991,0.0008555510657608991,3.067754063368589,binomial,1.0,10,10,True,ops
