task_id,iteration_used,tests_passed,tests_failed,total_tests,pass_rate,all_passed,correctness,error_message,original_token_count,original_green_count,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_is_watermarked,original_unique_starts,generated_token_count,generated_green_count,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_is_watermarked,generated_unique_starts,meets_z,iteration,reasoning_text,full_llm_response,input_tokens,output_tokens,stopping_condition_met,code
74,0,11,0,11,100.0,True,True,,5,1,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,False,ls,5,3,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,False,clu,False,0,,"```python
def total_match(lst1, lst2):
    chars_one = sum(len(unit_str) for unit_str in lst1)
    chars_two = sum(len(unit_str) for unit_str in lst2)

    if chars_one <= chars_two:
        return lst1
    else:
        return lst2
```",804,85,True,"def total_match(lst1, lst2):
    chars_one = sum(len(unit_str) for unit_str in lst1)
    chars_two = sum(len(unit_str) for unit_str in lst2)

    if chars_one <= chars_two:
        return lst1
    else:
        return lst2"
95,0,7,0,7,100.0,True,True,,4,4,2.5012817227194253,0.023134410000000005,0.023134410000000005,1.6357415718940032,binomial,1.0,False,iks,13,12,3.9406180059347613,0.00010301455969439589,0.00010301455969439589,3.9871013893912854,binomial,0.9230769230769231,True,io,True,0,,"```python
def check_dict_case(input_dict):
    # An empty dictionary should return False.
    if not input_dict:
        return False

    is_all_lowercase = True
    is_all_uppercase = True

    for one_key in input_dict.keys():
        # All keys must be strings. If any key is not a string, return False.
        if not isinstance(one_key, str):
            return False

        # Check if the current key is not entirely lowercase.
        # If it's not, then the entire set of keys cannot be all lowercase.
        if one_key != one_key.lower():
            is_all_lowercase = False

        # Check if the current key is not entirely uppercase.
        # If it's not, then the entire set of keys cannot be all uppercase.
        if one_key != one_key.upper():
            is_all_uppercase = False

        # Optimization: If we've already determined that the keys are neither
        # all lowercase nor all uppercase, we can exit early.
        if not is_all_lowercase and not is_all_uppercase:
            return False

    # Return True if all keys are either all lowercase or all uppercase.
    return is_all_lowercase or is_all_uppercase
```",885,296,True,"def check_dict_case(input_dict):
    # An empty dictionary should return False.
    if not input_dict:
        return False

    is_all_lowercase = True
    is_all_uppercase = True

    for one_key in input_dict.keys():
        # All keys must be strings. If any key is not a string, return False.
        if not isinstance(one_key, str):
            return False

        # Check if the current key is not entirely lowercase.
        # If it's not, then the entire set of keys cannot be all lowercase.
        if one_key != one_key.lower():
            is_all_lowercase = False

        # Check if the current key is not entirely uppercase.
        # If it's not, then the entire set of keys cannot be all uppercase.
        if one_key != one_key.upper():
            is_all_uppercase = False

        # Optimization: If we've already determined that the keys are neither
        # all lowercase nor all uppercase, we can exit early.
        if not is_all_lowercase and not is_all_uppercase:
            return False

    # Return True if all keys are either all lowercase or all uppercase.
    return is_all_lowercase or is_all_uppercase"
91,0,7,0,7,100.0,True,True,,3,3,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,False,s,14,13,4.131522355151466,4.312125084707603e-05,4.312125084707603e-05,4.3653086497669635,binomial,0.9285714285714286,True,cos,True,0,,"```python
import re

def is_bored(S):
    # Initialize count of boredoms
    _count_ = 0

    # Split the input string into chunks using sentence delimiters.
    # The regex r'[.?!]' matches '.', '?', or '!'.
    chunks = re.split(r'[.?!]', S)

    # Iterate over each chunk (potential sentence)
    for one_chunk in chunks:
        # Strip leading/trailing whitespace from the chunk
        shorn_chunk = one_chunk.strip()

        # Check if the shorn chunk has content
        if shorn_chunk:
            # Split the chunk by whitespace to get individual words.
            chunk_words = shorn_chunk.split()

            # Check if there's at least one word and the first word is ""I"" (case-sensitive).
            if chunk_words and chunk_words[0] == ""I"":
                _count_ += 1
    
    return _count_
```",631,224,True,"import re

def is_bored(S):
    # Initialize count of boredoms
    _count_ = 0

    # Split the input string into chunks using sentence delimiters.
    # The regex r'[.?!]' matches '.', '?', or '!'.
    chunks = re.split(r'[.?!]', S)

    # Iterate over each chunk (potential sentence)
    for one_chunk in chunks:
        # Strip leading/trailing whitespace from the chunk
        shorn_chunk = one_chunk.strip()

        # Check if the shorn chunk has content
        if shorn_chunk:
            # Split the chunk by whitespace to get individual words.
            chunk_words = shorn_chunk.split()

            # Check if there's at least one word and the first word is ""I"" (case-sensitive).
            if chunk_words and chunk_words[0] == ""I"":
                _count_ += 1
    
    return _count_"
60,0,5,0,5,100.0,True,True,,1,1,1.2506408613597126,0.39,0.39,0.4089353929735008,binomial,1.0,False,n,2,2,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,False,nv,False,0,,"```python
def sum_to_n(n: int):
    val_sum = n * (n + 1) // 2
    return val_sum
```",552,39,True,"def sum_to_n(n: int):
    val_sum = n * (n + 1) // 2
    return val_sum"
68,0,2,8,10,20.0,False,False,"Exception Error in: assert pluck([4, 2, 3]) == [2, 1], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([1, 2, 3]) == [2, 1], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([]) == [], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([5, 0, 3, 0, 4, 2]) == [0, 1], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([1, 2, 3, 0, 5, 3]) == [0, 3], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([5, 4, 8, 4, 8]) == [4, 1], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([7, 6, 7, 1]) == [6, 1], 'Error' → name 'pluck' is not defined
Exception Error in: assert pluck([7, 9, 7, 1]) == [], 'Error' → name 'pluck' is not defined
",3,1,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,False,aex,18,17,4.822775741140136,1.2701610305396996e-06,1.2701610305396996e-06,5.896141215861778,binomial,0.9444444444444444,True,acim,True,0,,"```python
import math

def candidate(arr):
    min_even_value = math.inf
    min_even_index = -1

    # Iterate through the input array, keeping track of both index and value.
    for current_index, current_value in enumerate(arr):
        # Check if the current value is even.
        if current_value % 2 == 0:
            # If the current even value is smaller than the smallest even value found so far,
            # update both the value and its index.
            if current_value < min_even_value:
                min_even_value = current_value
                min_even_index = current_index
            # If the current even value is equal to the smallest even value found so far,
            # we do not need to update. The problem asks for the node with the smallest
            # index if values are equal, and since we iterate from left to right,
            # min_even_index will already hold the smallest index for that value.

    # After checking all values, if min_even_index is still -1, it means
    # no even values were found, or the array was empty.
    if min_even_index == -1:
        return []
    else:
        # Return the smallest even value and its index.
        return [min_even_value, min_even_index]
```",943,313,True,"import math

def candidate(arr):
    min_even_value = math.inf
    min_even_index = -1

    # Iterate through the input array, keeping track of both index and value.
    for current_index, current_value in enumerate(arr):
        # Check if the current value is even.
        if current_value % 2 == 0:
            # If the current even value is smaller than the smallest even value found so far,
            # update both the value and its index.
            if current_value < min_even_value:
                min_even_value = current_value
                min_even_index = current_index
            # If the current even value is equal to the smallest even value found so far,
            # we do not need to update. The problem asks for the node with the smallest
            # index if values are equal, and since we iterate from left to right,
            # min_even_index will already hold the smallest index for that value.

    # After checking all values, if min_even_index is still -1, it means
    # no even values were found, or the array was empty.
    if min_even_index == -1:
        return []
    else:
        # Return the smallest even value and its index.
        return [min_even_value, min_even_index]"
3,0,6,0,6,100.0,True,True,,3,2,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,False,bo,8,7,2.8124804422280145,0.007232074051983303,0.007232074051983303,2.1407371356019587,binomial,0.875,True,alo,True,0,,"```python
from typing import List


def below_zero(operations: List[int]) -> bool:
    account_value = 0  # Initialize the account balance to zero

    for an_operation in operations:
        account_value += an_operation  # Apply the current operation to the balance
        if account_value < 0:
            return True  # If balance falls below zero, return True immediately
    
    return False  # If loop completes, balance never fell below zero
```",639,109,True,"from typing import List


def below_zero(operations: List[int]) -> bool:
    account_value = 0  # Initialize the account balance to zero

    for an_operation in operations:
        account_value += an_operation  # Apply the current operation to the balance
        if account_value < 0:
            return True  # If balance falls below zero, return True immediately
    
    return False  # If loop completes, balance never fell below zero"
51,0,7,0,7,100.0,True,True,,2,1,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,False,st,5,5,2.7965179814392074,0.009022419900000002,0.009022419900000002,2.044676964867504,binomial,1.0,True,cnsv,True,0,,"```python
def remove_vowels(source_chars):
    vowel_set = {'a', 'e', 'i', 'o', 'u'}
    new_content_chars = []

    for char_val in source_chars:
        # Check if the lowercase version of the character is not in the vowel set
        if char_val.lower() not in vowel_set:
            new_content_chars.append(char_val)

    return ''.join(new_content_chars)
```",599,115,True,"def remove_vowels(source_chars):
    vowel_set = {'a', 'e', 'i', 'o', 'u'}
    new_content_chars = []

    for char_val in source_chars:
        # Check if the lowercase version of the character is not in the vowel set
        if char_val.lower() not in vowel_set:
            new_content_chars.append(char_val)

    return ''.join(new_content_chars)"
76,0,10,0,10,100.0,True,True,,3,1,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,False,npx,10,8,2.658193769305474,0.01031631897013276,0.01031631897013276,1.9864752383810398,binomial,0.8,True,cnx,True,0,,"```python
def is_simple_power(x, n):
    # If x is 1, it is considered a simple power of any positive n (n^0 = 1).
    if x == 1:
        return True

    # If n is 1 and x is not 1, x cannot be a power of n.
    # (As 1 raised to any power is always 1)
    if n == 1:
        return False

    # For x > 1 and n > 1:
    # Check if x can be reached by repeatedly multiplying n.
    check_num = n  # Start the check with n raised to the power of 1

    while check_num < x:
        check_num *= n
    
    # After the loop, check if the multiplied value exactly equals x.
    return check_num == x
```",821,197,True,"def is_simple_power(x, n):
    # If x is 1, it is considered a simple power of any positive n (n^0 = 1).
    if x == 1:
        return True

    # If n is 1 and x is not 1, x cannot be a power of n.
    # (As 1 raised to any power is always 1)
    if n == 1:
        return False

    # For x > 1 and n > 1:
    # Check if x can be reached by repeatedly multiplying n.
    check_num = n  # Start the check with n raised to the power of 1

    while check_num < x:
        check_num *= n
    
    # After the loop, check if the multiplied value exactly equals x.
    return check_num == x"
11,0,3,0,3,100.0,True,True,,7,4,0.9841413506414587,0.27068694033420004,0.27068694033420004,0.5675326968619676,binomial,0.5714285714285714,False,abijxy,10,9,3.306533713038516,0.0013546470639203465,0.0013546470639203465,2.8681738399611376,binomial,0.9,True,abcio,True,0,,"```python
from typing import List


def string_xor(a: str, b: str) -> str:
    # A list is used to build the output string efficiently.
    output_chars = []

    # Iterate over the input strings, assuming they are of equal length.
    for idx in range(len(a)):
        curr_char_a = a[idx]
        curr_char_b = b[idx]

        # Apply XOR logic: same bits yield '0', different bits yield '1'.
        if curr_char_a == curr_char_b:
            output_chars.append('0')
        else:
            output_chars.append('1')

    # Join the characters to form the final string.
    return """".join(output_chars)

```",528,178,True,"from typing import List


def string_xor(a: str, b: str) -> str:
    # A list is used to build the output string efficiently.
    output_chars = []

    # Iterate over the input strings, assuming they are of equal length.
    for idx in range(len(a)):
        curr_char_a = a[idx]
        curr_char_b = b[idx]

        # Apply XOR logic: same bits yield '0', different bits yield '1'.
        if curr_char_a == curr_char_b:
            output_chars.append('0')
        else:
            output_chars.append('1')

    # Join the characters to form the final string.
    return """".join(output_chars)"
152,0,1,4,5,20.0,False,False,"Exception Error in: assert compare([1, 2, 3, 4, 5, 1], [1, 2, 3, 4, 2, -2]) == [0, 0, 0, 0, 3, 3], 'This prints if this assert fails 1 (good for debugging!)' → name 'compare' is not defined
Exception Error in: assert compare([0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]) == [0, 0, 0, 0, 0, 0], 'This prints if this assert fails 1 (good for debugging!)' → name 'compare' is not defined
Exception Error in: assert compare([1, 2, 3], [-1, -2, -3]) == [2, 4, 6], 'This prints if this assert fails 1 (good for debugging!)' → name 'compare' is not defined
Exception Error in: assert compare([1, 2, 3, 5], [-1, 2, 3, 4]) == [2, 0, 0, 1], 'This prints if this assert fails 1 (good for debugging!)' → name 'compare' is not defined
",4,1,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,False,gxy,10,6,1.3615138818393888,0.15000684625509092,0.15000684625509092,0.8238889194579406,binomial,0.6,False,agio,False,0,,"```python
def candidate(game, guess):
    outcome_vals = [] # Stores how far off each guess was

    # Iterate through each match using its index
    for idx in range(len(game)):
        game_val = game[idx]
        guess_val = guess[idx]

        # Calculate the absolute difference between the game score and the guess
        if game_val == guess_val:
            abs_amount_off = 0
        else:
            abs_amount_off = abs(game_val - guess_val)
        
        outcome_vals.append(abs_amount_off)
    
    return outcome_vals
```",886,149,True,"def candidate(game, guess):
    outcome_vals = [] # Stores how far off each guess was

    # Iterate through each match using its index
    for idx in range(len(game)):
        game_val = game[idx]
        guess_val = guess[idx]

        # Calculate the absolute difference between the game score and the guess
        if game_val == guess_val:
            abs_amount_off = 0
        else:
            abs_amount_off = abs(game_val - guess_val)
        
        outcome_vals.append(abs_amount_off)
    
    return outcome_vals"
