task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,0.861006088276924,0.574273197929112,0.574273197929112,0.24088145232951214,binomial,1.0,1,1,False,n,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,an
3,6,0,6,100.0,True,0.3236511313386805,0.6105903395228516,0.6105903395228516,0.2142500711888596,binomial,0.6666666666666666,3,2,False,bo,0.7107931458413331,0.43127380583953145,0.43127380583953145,0.3652469186794888,binomial,0.75,4,3,False,aclo
4,3,0,3,100.0,True,0.3236511313386805,0.6105903395228516,0.6105903395228516,0.2142500711888596,binomial,0.6666666666666666,3,2,False,mnx,1.7202531407723576,0.08198274698789434,0.08198274698789434,1.0862775339129391,binomial,0.875,8,7,False,ailmnos
5,3,0,3,100.0,True,-0.3004258848711817,0.7899068732061717,0.7899068732061717,0.1024241072370284,binomial,0.5,4,2,False,dnr,0.7107931458413331,0.43127380583953145,0.43127380583953145,0.3652469186794888,binomial,0.75,4,3,False,acln
6,3,0,3,100.0,True,-0.7796309574279916,0.8766794431135483,0.8766794431135483,0.05715917691437677,binomial,0.42857142857142855,7,3,False,cdmpsx,1.7202531407723576,0.08198274698789434,0.08198274698789434,1.0862775339129391,binomial,0.875,8,7,False,acls
9,4,0,4,100.0,True,-0.3004258848711817,0.7899068732061717,0.7899068732061717,0.1024241072370284,binomial,0.5,4,2,False,nr,1.0208063453025347,0.29397156685302006,0.29397156685302006,0.5316946728395042,binomial,0.8,5,4,False,almn
11,3,0,3,100.0,True,-0.015221221347677128,0.6589347107988843,0.6589347107988843,0.18115761445676673,binomial,0.5714285714285714,7,4,False,abijxy,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,aim
13,4,0,4,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,ab,1.2176464873270323,0.32978970585972917,0.32978970585972917,0.4817629046590241,binomial,1.0,2,2,False,am
15,3,0,3,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,nx,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,an
19,5,0,5,100.0,True,0.3236511313386805,0.6105903395228516,0.6105903395228516,0.2142500711888596,binomial,0.6666666666666666,3,2,False,nvx,2.583018264830772,0.006793083126169458,0.006793083126169458,2.1679330709656086,binomial,1.0,9,9,True,ajmnuv
21,5,0,5,100.0,True,0.7107931458413331,0.43127380583953145,0.43127380583953145,0.3652469186794888,binomial,0.75,4,3,False,mnx,1.7202531407723576,0.08198274698789434,0.08198274698789434,1.0862775339129391,binomial,0.875,8,7,False,almnouv
22,3,0,3,100.0,True,-1.1614319731481058,1.0,1.0,-0.0,binomial,0.0,1,0,False,x,1.0208063453025347,0.29397156685302006,0.29397156685302006,0.5316946728395042,binomial,0.8,5,4,False,ailn
26,3,0,3,100.0,True,1.925268142428387,0.06245867090055333,0.06245867090055333,1.20440726164756,binomial,1.0,5,5,False,cn,1.2833687005623753,0.1954103220210061,0.1954103220210061,0.7090524995815899,binomial,0.8333333333333334,6,5,False,acilo
28,3,0,3,100.0,True,0.861006088276924,0.574273197929112,0.574273197929112,0.24088145232951214,binomial,1.0,1,1,False,s,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,lm
29,2,0,2,100.0,True,-0.8440040278444053,0.9228398652363167,0.9228398652363167,0.034873652904526674,binomial,0.3333333333333333,3,1,False,psx,1.0208063453025347,0.29397156685302006,0.29397156685302006,0.5316946728395042,binomial,0.8,5,4,False,aklm
30,4,0,4,100.0,True,-1.6425128481997955,1.0,1.0,-0.0,binomial,0.0,2,0,False,el,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,aio
35,2,0,2,100.0,True,-0.8440040278444053,0.9228398652363167,0.9228398652363167,0.034873652904526674,binomial,0.3333333333333333,3,1,False,elm,1.2176464873270323,0.32978970585972917,0.32978970585972917,0.4817629046590241,binomial,1.0,2,2,False,cn
37,3,0,3,100.0,True,-0.3679450617292597,0.7833602721215494,0.7833602721215494,0.10603845734251462,binomial,0.5,6,3,False,aelo,1.925268142428387,0.06245867090055333,0.06245867090055333,1.20440726164756,binomial,1.0,5,5,False,acmn
38,0,1,1,0.0,False,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,es,2.2780079868932663,0.020598226704683108,0.020598226704683108,1.6861701663065842,binomial,1.0,7,7,False,acsu
43,9,0,9,100.0,True,-0.3004258848711817,0.7899068732061717,0.7899068732061717,0.1024241072370284,binomial,0.5,4,2,False,ijl,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,mnw
45,3,0,3,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,ah,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,ah
46,4,0,4,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,nr,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,cinv
47,5,0,5,100.0,True,-1.1614319731481058,1.0,1.0,-0.0,binomial,0.0,1,0,False,l,2.2780079868932663,0.020598226704683108,0.020598226704683108,1.6861701663065842,binomial,1.0,7,7,False,mnsv
49,7,0,7,100.0,True,-0.3004258848711817,0.7899068732061717,0.7899068732061717,0.1024241072370284,binomial,0.5,4,2,False,inpr,1.2176464873270323,0.32978970585972917,0.32978970585972917,0.4817629046590241,binomial,1.0,2,2,False,mn
50,0,1,1,0.0,False,1.2176464873270323,0.32978970585972917,0.32978970585972917,0.4817629046590241,binomial,1.0,2,2,False,cs,2.1090255817081927,0.03586834067646274,0.03586834067646274,1.4452887139770723,binomial,1.0,6,6,False,cinsu
51,7,0,7,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,st,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,kmov
52,6,0,6,100.0,True,-2.011659187027491,1.0,1.0,-0.0,binomial,0.0,3,0,False,elt,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,an
56,12,0,12,100.0,True,-2.011659187027491,1.0,1.0,-0.0,binomial,0.0,3,0,False,bd,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,ais
59,5,0,5,100.0,True,1.2833687005623753,0.1954103220210061,0.1954103220210061,0.7090524995815899,binomial,0.8333333333333334,6,5,False,ijkln,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,kmn
60,5,0,5,100.0,True,0.861006088276924,0.574273197929112,0.574273197929112,0.24088145232951214,binomial,1.0,1,1,False,n,0.861006088276924,0.574273197929112,0.574273197929112,0.24088145232951214,binomial,1.0,1,1,False,n
62,5,0,5,100.0,True,-0.8440040278444053,0.9228398652363167,0.9228398652363167,0.034873652904526674,binomial,0.3333333333333333,3,1,False,ix,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,amn
63,7,0,7,100.0,True,-0.2124331804363816,0.8187566899984949,0.8187566899984949,0.08684513839856023,binomial,0.5,2,1,False,fn,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,ikn
64,8,0,8,100.0,True,1.722012176553848,0.1087612500910467,0.1087612500910467,0.9635258093180481,binomial,1.0,4,4,False,cnsv,1.925268142428387,0.06245867090055333,0.06245867090055333,1.20440726164756,binomial,1.0,5,5,False,akmv
65,5,0,5,100.0,True,0.3236511313386805,0.6105903395228516,0.6105903395228516,0.2142500711888596,binomial,0.6666666666666666,3,2,False,sx,2.1090255817081927,0.03586834067646274,0.03586834067646274,1.4452887139770723,binomial,1.0,6,6,False,acm
66,10,0,10,100.0,True,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,cis,1.4913062905217664,0.18938938902816793,0.18938938902816793,0.7226443569885361,binomial,1.0,3,3,False,a
67,7,0,7,100.0,True,1.0208063453025347,0.29397156685302006,0.29397156685302006,0.5316946728395042,binomial,0.8,5,4,False,ilns,2.583018264830772,0.006793083126169458,0.006793083126169458,2.1679330709656086,binomial,1.0,9,9,True,acmou
68,10,0,10,100.0,True,-0.8440040278444053,0.9228398652363167,0.9228398652363167,0.034873652904526674,binomial,0.3333333333333333,3,1,False,aex,1.925268142428387,0.06245867090055333,0.06245867090055333,1.20440726164756,binomial,1.0,5,5,False,am
69,25,0,25,100.0,True,-0.3004258848711817,0.7899068732061717,0.7899068732061717,0.1024241072370284,binomial,0.5,4,2,False,afil,1.925268142428387,0.06245867090055333,0.06245867090055333,1.20440726164756,binomial,1.0,5,5,False,au
