task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,1.0407712430481035,0.25665475786042596,0.25665475786042596,0.5906506803867528,binomial,0.7142857142857143,7,5,False,deint,-0.7005722427550273,0.8385874619739575,0.8385874619739575,0.07645163517861153,binomial,0.4166666666666667,12,5,False,ilnot
2,3,0,3,100.0,True,0.9651624016394658,0.5177220230983672,0.5177220230983672,0.2859033604060856,binomial,1.0,1,1,False,n,0.8942297395866892,0.29000158432699197,0.29000158432699197,0.537599629471421,binomial,0.6666666666666666,9,6,False,inp
3,6,0,6,100.0,True,1.6717103171947536,0.13876818843543845,0.13876818843543845,0.8577100812182572,binomial,1.0,3,3,False,bo,-0.11215438629288471,0.6658157282173978,0.6658157282173978,0.17664594994632857,binomial,0.5,10,5,False,blo
4,3,0,3,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,mnx,1.8593921412261547,0.05176831120364271,0.05176831120364271,1.2859360024298117,binomial,0.75,16,12,False,alno
5,3,0,3,100.0,True,-0.0709326620527768,0.7136010934983614,0.7136010934983614,0.14654449313313783,binomial,0.5,4,2,False,dnr,1.5613155613639254,0.10855390630870503,0.10855390630870503,0.9643545438558919,binomial,0.7777777777777778,9,7,False,dlno
6,3,0,3,100.0,True,-0.47203720343165834,0.8014712610279394,0.8014712610279394,0.0961120458622411,binomial,0.42857142857142855,7,3,False,cdmpsx,2.7046129966414747,0.005459049480975469,0.005459049480975469,2.262882969219004,binomial,0.8666666666666667,15,13,True,belops
9,4,0,4,100.0,True,-0.0709326620527768,0.7136010934983614,0.7136010934983614,0.14654449313313783,binomial,0.5,4,2,False,nr,1.3147887919459886,0.16903646564813396,0.16903646564813396,0.7720195964429615,binomial,0.75,8,6,False,blno
11,3,0,3,100.0,True,0.2843670198082226,0.5387182600976891,0.5387182600976891,0.26863830359779106,binomial,0.5714285714285714,7,4,False,abijxy,3.479942528261063,0.00019198014471946288,0.00019198014471946288,3.7167436852791145,binomial,1.0,13,13,True,abjop
13,4,0,4,100.0,True,1.3649457582911209,0.26803609320106614,0.26803609320106614,0.5718067208121715,binomial,1.0,2,2,False,ab,2.4192583236525778,0.014270915067971904,0.014270915067971904,1.845548178516094,binomial,0.9,10,9,True,abins
15,3,0,3,100.0,True,-0.05015696634513217,0.7674079529956681,0.7674079529956681,0.11497370432425989,binomial,0.5,2,1,False,nx,2.022340154264115,0.0436263033844625,0.0436263033844625,1.3602515848069974,binomial,0.875,8,7,False,ino
