task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,0.995572774175985,0.2721199882556781,0.2721199882556781,0.5652395564550182,binomial,0.7142857142857143,7,5,False,"['d', 'e', 'i', 'n', 't']",0.3295972435395851,0.5494130011517095,0.5494130011517095,0.2601010677737773,binomial,0.6,5,3,False,"['i', 'j', 'l', 'n', 't']"
1,4,0,4,100.0,True,-1.4617563850253381,0.9761742619402579,0.9761742619402579,0.010472647247700034,binomial,0.2,5,1,False,"['c', 'p', 'r']",-0.1295267050605601,0.7043595809718985,0.7043595809718985,0.15220557357999062,binomial,0.5,6,3,False,"['c', 'd', 'g', 'l', 's']"
3,6,0,6,100.0,True,0.48656768605694267,0.539567149865985,0.539567149865985,0.2679544990783709,binomial,0.6666666666666666,3,2,False,"['b', 'o']",-0.492436208165512,0.7952439509469414,0.7952439509469414,0.09949962568536545,binomial,0.4444444444444444,9,4,False,"['b', 'c', 'l', 'o', 'p', 't', 'u']"
4,3,0,3,100.0,True,-0.6697461090430866,0.8937747363436799,0.8937747363436799,0.04877192537670891,binomial,0.3333333333333333,3,1,False,"['m', 'n', 'x']",-1.3394922180861732,0.9493281046578488,0.9493281046578488,0.022583661739918184,binomial,0.3333333333333333,10,4,False,"['c', 'd', 'l', 'm', 'n', 't']"
5,3,0,3,100.0,True,-1.1071552331238008,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['d', 'n', 'r']",0.5585301390661335,0.4223947875177002,0.4223947875177002,0.37428144976938493,binomial,0.625,7,5,False,"['a', 'd', 'h', 'l', 'n', 'p', 'r']"
6,3,0,3,100.0,True,0.2385877037234792,0.557594998765977,0.557594998765977,0.2536811302078941,binomial,0.5714285714285714,7,4,False,"['c', 'd', 'm', 'p', 's', 'x']",-0.492436208165512,0.7952439509469414,0.7952439509469414,0.09949962568536545,binomial,0.4444444444444444,9,4,False,"['c', 'g', 'l', 'm', 'p', 's']"
7,4,0,4,100.0,True,-0.6697461090430866,0.8937747363436799,0.8937747363436799,0.04877192537670891,binomial,0.3333333333333333,3,1,False,"['s', 'x']",-0.9471640307553427,0.9134646048358214,0.9134646048358214,0.03930827614100296,binomial,0.3333333333333333,6,2,False,"['g', 'l', 'r', 's']"
8,5,0,5,100.0,True,-1.1071552331238008,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['n', 'p', 's']",-0.7613353205361585,0.853133300446559,0.853133300446559,0.0689831058484083,binomial,0.4166666666666667,11,5,False,"['a', 'i', 'l', 'm', 'n', 'p', 'r', 't']"
9,4,0,4,100.0,True,-2.1085523544268203,1.0,1.0,-0.0,binomial,0.0,4,0,False,"['n', 'r']",-0.492436208165512,0.7952439509469414,0.7952439509469414,0.09949962568536545,binomial,0.4444444444444444,9,4,False,"['h', 'i', 'l', 'm', 'n', 'p', 'r', 'u']"
10,0,5,5,0.0,False,-0.6697461090430866,0.8937747363436799,0.8937747363436799,0.04877192537670891,binomial,0.3333333333333333,3,1,False,"['b', 'i', 's']",-1.0238709170122875,0.9037704993630631,0.9037704993630631,0.04394183889874758,binomial,0.38461538461538464,13,5,False,"['c', 'f', 'g', 'i', 'l', 'p', 'r', 's', 't']"
11,3,0,3,100.0,True,0.995572774175985,0.2721199882556781,0.2721199882556781,0.5652395564550182,binomial,0.7142857142857143,7,5,False,"['a', 'b', 'i', 'j', 'x', 'y']",-0.10575811182078132,0.726022958589392,0.726022958589392,0.13904964564834507,binomial,0.5,4,2,False,"['a', 'b', 'x', 'y']"
12,3,0,3,100.0,True,-1.1071552331238008,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['m', 's', 'x']",-1.1600342890341917,0.9335015778169165,0.9335015778169165,0.029884943663910743,binomial,0.3333333333333333,9,3,False,"['c', 'l', 'm', 'o', 'r', 's']"
13,4,0,4,100.0,True,-0.07478227803395965,0.7757055408511149,0.7757055408511149,0.11030310638684482,binomial,0.5,2,1,False,"['a', 'b']",-0.492436208165512,0.7952439509469414,0.7952439509469414,0.09949962568536545,binomial,0.4444444444444444,9,4,False,"['a', 'b', 'f', 'i', 'l', 'r', 's', 'u']"
14,3,0,3,100.0,True,-0.6697461090430866,0.8937747363436799,0.8937747363436799,0.04877192537670891,binomial,0.3333333333333333,3,1,False,"['i', 'r', 's']",0.2385877037234792,0.557594998765977,0.557594998765977,0.2536811302078941,binomial,0.5714285714285714,7,4,False,"['b', 'i', 'l', 'p', 't']"
15,3,0,3,100.0,True,-0.07478227803395965,0.7757055408511149,0.7757055408511149,0.11030310638684482,binomial,0.5,2,1,False,"['n', 'x']",1.341407112234146,0.2770997396769381,0.2770997396769381,0.5573638822182101,binomial,1.0,2,2,False,"['i', 'l']"
