task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,0.9955727741759854,0.27211998825567785,0.27211998825567785,0.5652395564550187,binomial,0.7142857142857143,7,5,False,"['d', 'e', 'i', 'n', 't']",2.542013344780387,0.009371038723973133,0.009371038723973133,2.028212267480708,binomial,0.9090909090909091,10,10,True,"['c', 'd', 'e', 'i', 'l']"
1,4,0,4,100.0,True,-1.4617563850253374,0.9761742619402579,0.9761742619402579,0.010472647247700034,binomial,0.2,5,1,False,"['c', 'p', 'r']",2.509542915080997,0.011200216360215526,0.011200216360215526,1.9507735877637358,binomial,1.0,7,7,True,"['a', 'e', 'g', 'i', 'l', 'o']"
2,3,0,3,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['n'],2.120950872104509,0.0404194402104943,0.0404194402104943,1.3934097055455255,binomial,1.0,5,5,False,"['a', 'd', 'g', 'i', 'o']"
3,6,0,6,100.0,True,0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['b', 'o']",2.845554196177887,0.0031035770377411047,0.0031035770377411047,2.508137469981946,binomial,1.0,9,9,True,"['a', 'e', 'i', 'l', 'o']"
4,3,0,3,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['m', 'n', 'x']",3.4199305204770294,0.00023830588397641866,0.00023830588397641866,3.6228652344183665,binomial,1.0,13,13,True,"['a', 'd', 'g', 'l', 'o']"
5,3,0,3,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['d', 'n', 'r']",2.6828142244682924,0.005895823463545797,0.005895823463545797,2.229455528872841,binomial,1.0,8,8,True,"['a', 'd', 'i', 'l']"
6,3,0,3,100.0,True,0.23858770372347954,0.5575949987659767,0.5575949987659767,0.25368113020789435,binomial,0.5714285714285714,7,4,False,"['c', 'd', 'm', 'p', 's', 'x']",2.845554196177887,0.0031035770377411047,0.0031035770377411047,2.508137469981946,binomial,1.0,9,9,True,"['a', 'd', 'e', 'g', 'l', 'o', 'p']"
7,4,0,4,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['s', 'x']",2.6828142244682924,0.005895823463545797,0.005895823463545797,2.229455528872841,binomial,1.0,8,8,True,"['a', 'e', 'g', 'i', 'l', 'o']"
8,5,0,5,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['n', 'p', 's']",2.7076060647639295,0.005340233440024942,0.005340233440024942,2.272439758046578,binomial,0.9166666666666666,11,11,True,"['a', 'd', 'e', 'g', 'i', 'l', 'o', 't']"
9,4,0,4,100.0,True,-2.10855235442682,1.0,1.0,-0.0,binomial,0.0,4,0,False,"['n', 'r']",2.845554196177887,0.0031035770377411047,0.0031035770377411047,2.508137469981946,binomial,1.0,8,9,True,"['d', 'e', 'i', 'l', 'o', 'p']"
10,0,5,5,0.0,False,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['b', 'i', 's']",2.3089801611047003,0.018071192703188042,0.018071192703188042,1.7430131829499043,binomial,0.8461538461538461,13,11,False,"['d', 'e', 'f', 'g', 'i', 'j', 'l', 's']"
11,3,0,3,100.0,True,0.9955727741759854,0.27211998825567785,0.27211998825567785,0.5652395564550187,binomial,0.7142857142857143,7,5,False,"['a', 'b', 'i', 'j', 'x', 'y']",2.542013344780387,0.009371038723973133,0.009371038723973133,2.028212267480708,binomial,0.9090909090909091,11,10,True,"['a', 'b', 'd', 'i', 'j', 'o']"
12,3,0,3,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['m', 's', 'x']",2.845554196177887,0.0031035770377411047,0.0031035770377411047,2.508137469981946,binomial,1.0,9,9,True,"['a', 'e', 'g', 'l', 'o']"
