task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,0.9651624016394658,0.5177220230983672,0.5177220230983672,0.2859033604060856,binomial,1.0,1,1,False,n,2.5535796895278655,0.009969571150198869,0.009969571150198869,2.0013235228426,binomial,1.0,7,7,True,an
3,6,0,6,100.0,True,1.6717103171947536,0.13876818843543845,0.13876818843543845,0.8577100812182572,binomial,1.0,3,3,False,bo,2.7657073662260023,0.004515980978792629,0.004515980978792629,2.3452478959815246,binomial,0.9166666666666666,12,11,True,alo
4,3,0,3,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,mnx,2.7046129966414747,0.005459049480975469,0.005459049480975469,2.262882969219004,binomial,0.8666666666666667,15,13,True,ailn
5,3,0,3,100.0,True,-0.0709326620527768,0.7136010934983614,0.7136010934983614,0.14654449313313783,binomial,0.5,4,2,False,dnr,2.4192583236525778,0.014270915067971904,0.014270915067971904,1.845548178516094,binomial,0.9,10,9,True,aln
6,3,0,3,100.0,True,-0.47203720343165834,0.8014712610279394,0.8014712610279394,0.0961120458622411,binomial,0.42857142857142855,7,3,False,cdmpsx,2.3936653133351133,0.01305478074879109,0.01305478074879109,1.8842304176280738,binomial,0.7727272727272727,22,17,True,eilp
9,4,0,4,100.0,True,-0.0709326620527768,0.7136010934983614,0.7136010934983614,0.14654449313313783,binomial,0.5,4,2,False,nr,2.36984461954436,0.015511148027155185,0.015511148027155185,1.8093560575437555,binomial,0.8461538461538461,13,11,True,alno
11,3,0,3,100.0,True,0.2843670198082226,0.5387182600976891,0.5387182600976891,0.26863830359779106,binomial,0.5714285714285714,7,4,False,abijxy,3.0521115011389437,0.0013834593279913065,0.0013834593279913065,2.8590336040608575,binomial,1.0,10,10,True,abijo
13,4,0,4,100.0,True,1.3649457582911209,0.26803609320106614,0.26803609320106614,0.5718067208121715,binomial,1.0,2,2,False,ab,2.4192583236525778,0.014270915067971904,0.014270915067971904,1.845548178516094,binomial,0.9,10,9,True,ab
15,3,0,3,100.0,True,-0.05015696634513217,0.7674079529956681,0.7674079529956681,0.11497370432425989,binomial,0.5,2,1,False,nx,0.8942297395866892,0.29000158432699197,0.29000158432699197,0.537599629471421,binomial,0.6666666666666666,9,6,False,ains
19,5,0,5,100.0,True,-0.6391427554592661,0.8878259781273414,0.8878259781273414,0.051672151502257437,binomial,0.3333333333333333,3,1,False,nvx,2.3936653133351133,0.01305478074879109,0.01305478074879109,1.8842304176280738,binomial,0.7727272727272727,22,17,True,ai
