task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,0.9955727741759854,0.27211998825567785,0.27211998825567785,0.5652395564550187,binomial,0.7142857142857143,7,5,False,"['d', 'e', 'i', 'n', 't']",-0.16721825719622224,0.686075181215451,0.686075181215451,0.1636282910017249,binomial,0.5,10,5,False,"['a', 'b', 'c', 'i', 'j', 'l', 'm', 'n', 'v']"
1,4,0,4,100.0,True,-1.4617563850253374,0.9761742619402579,0.9761742619402579,0.010472647247700034,binomial,0.2,5,1,False,"['c', 'p', 'r']",0.23858770372347954,0.5575949987659767,0.5575949987659767,0.25368113020789435,binomial,0.5714285714285714,7,4,False,"['c', 'd', 'g', 'l', 's']"
2,3,0,3,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['n'],-1.4909716683020648,1.0,1.0,-0.0,binomial,0.0,2,0,False,"['n', 'r']"
3,6,0,6,100.0,True,0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['b', 'o']",1.2252740578220476,0.2222435678031568,0.2222435678031568,0.6531707995726848,binomial,0.8,5,4,False,"['a', 'b', 'l', 'o']"
4,3,0,3,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['m', 'n', 'x']",0.6881106206342229,0.3944664213315202,0.3944664213315202,0.4039899598844665,binomial,0.6666666666666666,6,4,False,"['a', 'c', 'd', 'l', 'n', 'x']"
5,3,0,3,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['d', 'n', 'r']",0.8956390094822385,0.3531113411425778,0.3531113411425778,0.45208833365031875,binomial,0.75,4,3,False,"['d', 'i', 'l', 'r']"
6,3,0,3,100.0,True,0.23858770372347954,0.5575949987659767,0.5575949987659767,0.25368113020789435,binomial,0.5714285714285714,7,4,False,"['c', 'd', 'm', 'p', 's', 'x']",-0.14956455606791866,0.6927952100142535,0.6927952100142535,0.159395123692167,binomial,0.5,8,4,False,"['c', 'd', 'g', 'l', 'm', 's']"
7,4,0,4,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['s', 'x']",-0.5660795707428757,0.8437629302145137,0.8437629302145137,0.07377955877983959,binomial,0.4,5,2,False,"['l', 'r', 's']"
8,5,0,5,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['n', 'p', 's']",-0.9471640307553424,0.9134646048358213,0.9134646048358213,0.03930827614100301,binomial,0.3333333333333333,6,2,False,"['l', 'n', 'p', 't']"
9,4,0,4,100.0,True,-2.10855235442682,1.0,1.0,-0.0,binomial,0.0,4,0,False,"['n', 'r']",0.32959724353958586,0.5494130011517092,0.5494130011517092,0.26010106777377756,binomial,0.6,5,3,False,"['c', 'l', 'r', 'x']"
10,5,0,5,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['b', 'i', 's']",-0.5660795707428757,0.8437629302145137,0.8437629302145137,0.07377955877983959,binomial,0.4,5,2,False,"['f', 'i', 'p', 's']"
11,3,0,3,100.0,True,0.9955727741759854,0.27211998825567785,0.27211998825567785,0.5652395564550187,binomial,0.7142857142857143,7,5,False,"['a', 'b', 'i', 'j', 'x', 'y']",-0.5660795707428757,0.8437629302145137,0.8437629302145137,0.07377955877983959,binomial,0.4,5,2,False,"['a', 'b', 's', 'x']"
12,3,0,3,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['m', 's', 'x']",-0.10575811182078088,0.7260229585893919,0.7260229585893919,0.13904964564834515,binomial,0.5,4,2,False,"['f', 'l', 'o', 's']"
13,4,0,4,100.0,True,-0.07478227803395933,0.7757055408511148,0.7757055408511148,0.1103031063868449,binomial,0.5,2,1,False,"['a', 'b']",0.32959724353958586,0.5494130011517092,0.5494130011517092,0.26010106777377756,binomial,0.6,5,3,False,"['a', 'b', 'u', 'x', 'y']"
14,3,0,3,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['i', 'r', 's']",-0.10575811182078088,0.7260229585893919,0.7260229585893919,0.13904964564834515,binomial,0.5,4,2,False,"['i', 'l', 'r', 's']"
15,3,0,3,100.0,True,-0.07478227803395933,0.7757055408511148,0.7757055408511148,0.1103031063868449,binomial,0.5,2,1,False,"['n', 'x']",-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['c', 'i', 'n']"
16,5,0,5,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['s'],-1.4909716683020648,1.0,1.0,-0.0,binomial,0.0,2,0,False,"['c', 't']"
17,5,0,5,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['m', 'n', 'x']",-0.10575811182078088,0.7260229585893919,0.7260229585893919,0.13904964564834515,binomial,0.5,4,2,False,"['i', 'l', 'm', 'r']"
18,4,0,4,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['i', 's', 't']",-0.10575811182078088,0.7260229585893919,0.7260229585893919,0.13904964564834515,binomial,0.5,4,2,False,"['c', 'i', 'p', 't']"
19,5,0,5,100.0,True,-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['n', 'v', 'x']",-2.10855235442682,1.0,1.0,-0.0,binomial,0.0,4,0,False,"['m', 'w']"
20,5,0,5,100.0,True,0.5585301390661341,0.42239478751769977,0.42239478751769977,0.3742814497693854,binomial,0.625,8,5,False,"['c', 'd', 'e', 'i', 'n']",0.12655260477738503,0.571141723973387,0.571141723973387,0.24325611189002588,binomial,0.5454545454545454,11,6,False,"['a', 'b', 'f', 'g', 'i', 'j', 'l', 'm', 'n', 'p', 't']"
21,5,0,5,100.0,True,-1.1071552331238004,0.9496919955951091,0.9496919955951091,0.022417222397880708,binomial,0.25,4,1,False,"['m', 'n', 'x']",-1.275382437181532,0.9530772397196139,0.9530772397196139,0.02087190164425542,binomial,0.2857142857142857,7,2,False,"['l', 'm', 'r', 's', 'v', 'x']"
22,3,0,3,100.0,True,0.9485180653926291,0.5264026402640264,0.5264026402640264,0.2786819411091051,binomial,1.0,1,1,False,['x'],1.2252740578220476,0.2222435678031568,0.2222435678031568,0.6531707995726848,binomial,0.8,5,4,False,"['a', 'd', 'l', 'r', 'x']"
23,3,0,3,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['s'],-1.4909716683020648,1.0,1.0,-0.0,binomial,0.0,3,0,False,"['c', 's']"
24,5,0,5,100.0,True,-0.07478227803395933,0.7757055408511148,0.7757055408511148,0.1103031063868449,binomial,0.5,2,1,False,"['i', 'n']",-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['d', 'f', 'n']"
25,8,0,8,100.0,True,-1.4617563850253374,0.9761742619402579,0.9761742619402579,0.010472647247700034,binomial,0.2,5,1,False,"['f', 'i', 'm', 'n', 's']",-0.5660795707428757,0.8437629302145137,0.8437629302145137,0.07377955877983959,binomial,0.4,5,2,False,"['d', 'f', 'l', 'n', 'r']"
26,3,0,3,100.0,True,-2.357433199307799,1.0,1.0,-0.0,binomial,0.0,5,0,False,"['c', 'n']",-0.9471640307553424,0.9134646048358213,0.9134646048358213,0.03930827614100301,binomial,0.3333333333333333,6,2,False,"['c', 'l', 'n', 'r', 'x']"
27,3,0,3,100.0,True,-1.4909716683020648,1.0,1.0,-0.0,binomial,0.0,2,0,False,['s'],-0.5660795707428757,0.8437629302145137,0.8437629302145137,0.07377955877983959,binomial,0.4,5,2,False,"['c', 'f', 'i', 's']"
28,3,0,3,100.0,True,-1.05427617721341,1.0,1.0,-0.0,binomial,0.0,1,0,False,['s'],-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['c', 'l', 's']"
29,2,0,2,100.0,True,0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['p', 's', 'x']",0.8956390094822385,0.3531113411425778,0.3531113411425778,0.45208833365031875,binomial,0.75,4,3,False,"['l', 'p', 'r', 'x']"
30,4,0,4,100.0,True,1.3414071122341462,0.2770997396769378,0.2770997396769378,0.5573638822182104,binomial,1.0,2,2,False,"['e', 'l']",0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['l', 'r', 'x']"
31,13,0,13,100.0,True,-0.07478227803395933,0.7757055408511148,0.7757055408511148,0.1103031063868449,binomial,0.5,2,1,False,"['k', 'n']",-0.6697461090430863,0.8937747363436798,0.8937747363436798,0.04877192537670896,binomial,0.3333333333333333,3,1,False,"['c', 'i', 'n']"
32,0,1,1,0.0,False,0.32959724353958586,0.5494130011517092,0.5494130011517092,0.26010106777377756,binomial,0.6,5,3,False,"['b', 'c', 'e', 'p', 'x']",-0.761335320536158,0.8531333004465589,0.8531333004465589,0.06898310584840836,binomial,0.4166666666666667,13,5,False,"['c', 'e', 'f', 'i', 'l', 'm', 'r', 'v', 'x']"
33,0,7,7,0.0,False,0.9485180653926291,0.5264026402640264,0.5264026402640264,0.2786819411091051,binomial,1.0,1,1,False,['l'],-0.12952670506055974,0.7043595809718983,0.7043595809718983,0.15220557357999073,binomial,0.5,6,3,False,"['i', 'l', 'r', 's', 't']"
34,0,1,1,0.0,False,0.9485180653926291,0.5264026402640264,0.5264026402640264,0.2786819411091051,binomial,1.0,1,1,False,['l'],0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['l', 'r', 'x']"
35,2,0,2,100.0,True,0.4865676860569429,0.5395671498659849,0.5395671498659849,0.26795449907837093,binomial,0.6666666666666666,3,2,False,"['e', 'l', 'm']",-0.10575811182078088,0.7260229585893919,0.7260229585893919,0.13904964564834515,binomial,0.5,4,2,False,"['l', 'm', 'r', 'x']"
