task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,-1.0913750393149877,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,1.171994759477137,0.20934914011496258,0.20934914011496258,0.679128818599327,binomial,0.75,8,6,False,din
4,3,0,3,100.0,True,-1.8903170182060396,1.0,1.0,-0.0,binomial,0.0,3,0,False,mnx,1.9935997355648127,0.03817580935470635,0.03817580935470635,1.418211746817531,binomial,0.8,15,12,False,acdlnr
6,3,0,3,100.0,True,0.14777508050371072,0.5946704558294293,0.5946704558294293,0.22572363740281598,binomial,0.5714285714285714,7,4,False,cdmpsx,2.594512039274003,0.007375037376768794,0.007375037376768794,2.132235774335114,binomial,0.9166666666666666,12,11,True,bcdglp
9,4,0,4,100.0,True,-0.175099731582405,0.7499046762653045,0.7499046762653045,0.12499393821235316,binomial,0.5,4,2,False,nr,1.665416091320965,0.09647076826582225,0.09647076826582225,1.0156042628639517,binomial,0.8571428571428571,7,6,False,celnp
11,3,0,3,100.0,True,0.14777508050371072,0.5946704558294293,0.5946704558294293,0.22572363740281598,binomial,0.5714285714285714,7,4,False,abijxy,3.174070773427283,0.000665934115187497,0.000665934115187497,3.176568736033771,binomial,1.0,12,12,True,abdfpr
13,4,0,4,100.0,True,1.2958089670629998,0.2955097927541756,0.2955097927541756,0.529428122672295,binomial,1.0,2,2,False,ab,2.5916179341259995,0.007625836845294643,0.007625836845294643,2.1177124906891804,binomial,1.0,8,8,True,abcdf
19,5,0,5,100.0,True,-1.8903170182060396,1.0,1.0,-0.0,binomial,0.0,3,0,False,nvx,2.302010687969423,0.01642059214222468,0.01642059214222468,1.7846111858606808,binomial,0.8,20,16,True,dflnp
21,5,0,5,100.0,True,-2.1827500786299754,1.0,1.0,-0.0,binomial,0.0,4,0,False,mnx,1.633211542282968,0.08548469475752293,0.08548469475752293,1.0681116347145967,binomial,0.7692307692307693,13,10,False,clnpr
23,3,0,3,100.0,True,-1.0913750393149877,1.0,1.0,-0.0,binomial,0.0,1,0,False,s,-0.21445249823759416,0.7340629635682943,0.7340629635682943,0.1342666872807916,binomial,0.5,6,3,False,cs
24,5,0,5,100.0,True,-0.12381420758586284,0.7917064557523956,0.7917064557523956,0.10143581371102561,binomial,0.5,2,1,False,in,0.8287254419413802,0.3805879837094509,0.3805879837094509,0.41954492779639985,binomial,0.75,4,3,False,np
25,8,0,8,100.0,True,-0.6446917164350535,0.8622734349720637,0.8622734349720637,0.0643549934920365,binomial,0.4,5,2,False,fimns,2.8918211484183414,0.0025098300524959544,0.0025098300524959544,2.600355684798647,binomial,0.9285714285714286,14,13,True,clnpr
27,3,0,3,100.0,True,-1.5434373822347254,1.0,1.0,-0.0,binomial,0.0,2,0,False,s,2.355254023340498,0.015132419767485427,0.015132419767485427,1.8200916200508455,binomial,0.8571428571428571,14,12,True,cfip
28,3,0,3,100.0,True,-1.0913750393149877,1.0,1.0,-0.0,binomial,0.0,1,0,False,s,1.8818063468015682,0.05884464431610879,0.05884464431610879,1.2302930578809415,binomial,0.875,8,7,False,clrs
29,2,0,2,100.0,True,-0.7311995498994791,0.9049365186349045,0.9049365186349045,0.04338188551694809,binomial,0.3333333333333333,3,1,False,psx,2.8975169362066535,0.0022535094657301765,0.0022535094657301765,2.647140613361475,binomial,1.0,10,10,True,efilp
30,4,0,4,100.0,True,1.2958089670629998,0.2955097927541756,0.2955097927541756,0.529428122672295,binomial,1.0,2,2,False,el,2.048853874194594,0.04747114350560956,0.04747114350560956,1.3235703066807376,binomial,1.0,5,5,False,ilp
32,0,1,1,0.0,False,1.1510053439847114,0.2467456140456409,0.2467456140456409,0.6077505582640197,binomial,0.8,5,4,False,bcepx,2.572011677233303,0.0071771367031582605,0.0071771367031582605,2.1440487816676588,binomial,0.7857142857142857,28,22,True,ceilmprx
33,0,7,7,0.0,False,0.9162753077325827,0.5436081242532856,0.5436081242532856,0.2647140613361475,binomial,1.0,1,1,False,l,2.4242365967295925,0.014028187779146412,0.014028187779146412,1.8529984293530326,binomial,1.0,7,7,True,dlpr
36,8,0,8,100.0,True,-0.21445249823759416,0.7340629635682943,0.7340629635682943,0.1342666872807916,binomial,0.5,6,3,False,acins,2.5916179341259995,0.007625836845294643,0.007625836845294643,2.1177124906891804,binomial,1.0,8,8,True,cdei
