task_id,iteration_used,tests_passed,tests_failed,total_tests,pass_rate,all_passed,correctness,error_message,original_token_count,original_green_count,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_is_watermarked,original_unique_starts,generated_token_count,generated_green_count,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_is_watermarked,generated_unique_starts,meets_z,iteration,reasoning_text,full_llm_response,input_tokens,output_tokens,stopping_condition_met,code
0,0,7,0,7,100.0,True,True,,7,3,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,False,deint,9,7,2.3851019705712555,0.021529898175854958,0.021529898175854958,1.6669580241369812,binomial,0.7777777777777778,False,lntv,False,0,,"```python
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    count = len(numbers)
    
    # Check each pair of numbers
    for index in range(count):
        for next_index in range(index + 1, count):
            value_one = numbers[index]
            value_two = numbers[next_index]
            
            # Calculate absolute difference
            variance = abs(value_one - value_two)
            
            if variance < threshold:
                return True
    
    return False
```",808,139,True,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    count = len(numbers)
    
    # Check each pair of numbers
    for index in range(count):
        for next_index in range(index + 1, count):
            value_one = numbers[index]
            value_two = numbers[next_index]
            
            # Calculate absolute difference
            variance = abs(value_one - value_two)
            
            if variance < threshold:
                return True
    
    return False"
1,0,0,4,4,0.0,False,False,"Exception Error in: assert separate_paren_groups('(()()) ((())) () ((())()())') == ['(()())', '((()))', '()', '((())()())'] → name 'separate_paren_groups' is not defined
Exception Error in: assert separate_paren_groups('() (()) ((())) (((())))') == ['()', '(())', '((()))', '(((())))'] → name 'separate_paren_groups' is not defined
Exception Error in: assert separate_paren_groups('(()(())((())))') == ['(()(())((())))'] → name 'separate_paren_groups' is not defined
Exception Error in: assert separate_paren_groups('( ) (( )) (( )( ))') == ['()', '(())', '(()())'] → name 'separate_paren_groups' is not defined
",5,3,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,False,cpr,6,4,1.3894254253000504,0.16566551001000002,0.16566551001000002,0.7807678981675861,binomial,0.6666666666666666,False,cgilo,False,0,"Looking at this problem, I need to:

1. Parse a string containing multiple groups of parentheses
2. Separate each balanced group into individual strings
3. Ignore spaces in the input
4. Return a list of separated groups

I'll track the balance of parentheses to identify when a group is complete (balance returns to 0).","Looking at this problem, I need to:

1. Parse a string containing multiple groups of parentheses
2. Separate each balanced group into individual strings
3. Ignore spaces in the input
4. Return a list of separated groups

I'll track the balance of parentheses to identify when a group is complete (balance returns to 0).

```python
from typing import List

def candidate(input_string: str) -> List[str]:
    groups = []
    current_group = """"
    open_count = 0
    
    for char in input_string:
        if char == ' ':
            continue
        
        current_group += char
        
        if char == '(':
            open_count += 1
        elif char == ')':
            open_count -= 1
            
        if open_count == 0 and current_group:
            groups.append(current_group)
            current_group = """"
    
    return groups
```",668,225,True,"from typing import List

def candidate(input_string: str) -> List[str]:
    groups = []
    current_group = """"
    open_count = 0
    
    for char in input_string:
        if char == ' ':
            continue
        
        current_group += char
        
        if char == '(':
            open_count += 1
        elif char == ')':
            open_count -= 1
            
        if open_count == 0 and current_group:
            groups.append(current_group)
            current_group = """"
    
    return groups"
2,0,0,3,3,0.0,False,False,"Exception Error in: assert truncate_number(3.5) == 0.5 → name 'truncate_number' is not defined
Exception Error in: assert abs(truncate_number(1.33) - 0.33) < 1e-06 → name 'truncate_number' is not defined
Exception Error in: assert abs(truncate_number(123.456) - 0.456) < 1e-06 → name 'truncate_number' is not defined
",1,1,1.2506408613597126,0.39,0.39,0.4089353929735008,binomial,1.0,False,n,3,3,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,False,now,False,0,,"```python
def candidate(number: float) -> float:
    whole_value = int(number)
    output = number - whole_value
    return output
```",562,41,True,"def candidate(number: float) -> float:
    whole_value = int(number)
    output = number - whole_value
    return output"
3,0,0,6,6,0.0,False,False,"Exception Error in: assert below_zero([]) == False → name 'below_zero' is not defined
Exception Error in: assert below_zero([1, 2, -3, 1, 2, -3]) == False → name 'below_zero' is not defined
Exception Error in: assert below_zero([1, 2, -4, 5, 6]) == True → name 'below_zero' is not defined
Exception Error in: assert below_zero([1, -1, 2, -2, 5, -5, 4, -4]) == False → name 'below_zero' is not defined
Exception Error in: assert below_zero([1, -1, 2, -2, 5, -5, 4, -5]) == True → name 'below_zero' is not defined
Exception Error in: assert below_zero([1, -2, 2, -2, 5, -5, 4, -4]) == True → name 'below_zero' is not defined
",3,2,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,False,bo,5,4,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,False,alov,False,0,,"```python
from typing import List

def candidate(operations: List[int]) -> bool:
    account_sum = 0
    
    # Check each operation to see if sum goes negative
    for value in operations:
        account_sum += value
        if account_sum < 0:
            return True
    
    return False
```",676,81,True,"from typing import List

def candidate(operations: List[int]) -> bool:
    account_sum = 0
    
    # Check each operation to see if sum goes negative
    for value in operations:
        account_sum += value
        if account_sum < 0:
            return True
    
    return False"
4,0,3,0,3,100.0,True,True,,3,2,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,False,mnx,9,8,3.068512277325197,0.003146981445162829,0.003146981445162829,2.502105817711868,binomial,0.8888888888888888,True,lmns,True,0,,"```python
from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    # Calculate the mean of all numbers
    mean_value = sum(numbers) / len(numbers)
    
    # Calculate absolute differences and sum them
    sum_of_differences = sum(abs(num - mean_value) for num in numbers)
    
    # Calculate mean absolute deviation
    mad = sum_of_differences / len(numbers)
    
    return mad
```",664,116,True,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    # Calculate the mean of all numbers
    mean_value = sum(numbers) / len(numbers)
    
    # Calculate absolute differences and sum them
    sum_of_differences = sum(abs(num - mean_value) for num in numbers)
    
    # Calculate mean absolute deviation
    mad = sum_of_differences / len(numbers)
    
    return mad"
5,0,0,3,3,0.0,False,False,"Exception Error in: assert intersperse([], 7) == [] → name 'intersperse' is not defined
Exception Error in: assert intersperse([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2] → name 'intersperse' is not defined
Exception Error in: assert intersperse([2, 2, 2], 2) == [2, 2, 2, 2, 2] → name 'intersperse' is not defined
",4,2,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,False,dnr,5,3,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,False,dlnov,False,0,,"```python
from typing import List


def candidate(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    
    output = []
    
    for index, value in enumerate(numbers):
        output.append(value)
        if index < len(numbers) - 1:
            output.append(delimeter)
    
    return output
```",599,98,True,"from typing import List


def candidate(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    
    output = []
    
    for index, value in enumerate(numbers):
        output.append(value)
        if index < len(numbers) - 1:
            output.append(delimeter)
    
    return output"
6,0,3,0,3,100.0,True,True,,7,3,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,False,cdmpsx,8,4,0.6378821621548074,0.3827973172052836,0.3827973172052836,0.41703111459170455,binomial,0.5,False,cglmp,False,0,,"```python
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    max_nesting_values = []
    
    for group in groups:
        current_nesting = 0
        max_nesting = 0
        
        for char in group:
            if char == '(':
                current_nesting += 1
                max_nesting = max(max_nesting, current_nesting)
            elif char == ')':
                current_nesting -= 1
        
        max_nesting_values.append(max_nesting)
    
    return max_nesting_values
```",619,170,True,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    max_nesting_values = []
    
    for group in groups:
        current_nesting = 0
        max_nesting = 0
        
        for char in group:
            if char == '(':
                current_nesting += 1
                max_nesting = max(max_nesting, current_nesting)
            elif char == ')':
                current_nesting -= 1
        
        max_nesting_values.append(max_nesting)
    
    return max_nesting_values"
7,0,0,4,4,0.0,False,False,"Exception Error in: assert filter_by_substring([], 'john') == [] → name 'filter_by_substring' is not defined
Exception Error in: assert filter_by_substring(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx'] → name 'filter_by_substring' is not defined
Exception Error in: assert filter_by_substring(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx'] → name 'filter_by_substring' is not defined
Exception Error in: assert filter_by_substring(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune'] → name 'filter_by_substring' is not defined
",3,2,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,False,sx,5,4,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,False,alsw,False,0,,"```python
from typing import List

def candidate(strings: List[str], substring: str) -> List[str]:
    answer = []
    for word in strings:
        if substring in word:
            answer.append(word)
    return answer
```",675,62,True,"from typing import List

def candidate(strings: List[str], substring: str) -> List[str]:
    answer = []
    for word in strings:
        if substring in word:
            answer.append(word)
    return answer"
8,0,0,5,5,0.0,False,False,"Exception Error in: assert sum_product([]) == (0, 1) → name 'sum_product' is not defined
Exception Error in: assert sum_product([1, 1, 1]) == (3, 1) → name 'sum_product' is not defined
Exception Error in: assert sum_product([100, 0]) == (100, 0) → name 'sum_product' is not defined
Exception Error in: assert sum_product([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7) → name 'sum_product' is not defined
Exception Error in: assert sum_product([10]) == (10, 10) → name 'sum_product' is not defined
",4,3,1.4761662625885135,0.16787277000000003,0.16787277000000003,0.775019743396212,binomial,0.75,False,nps,6,4,1.3894254253000504,0.16566551001000002,0.16566551001000002,0.7807678981675861,binomial,0.6666666666666666,False,almntv,False,0,,"```python
from typing import List, Tuple


def candidate(numbers: List[int]) -> Tuple[int, int]:
    addition = 0
    multiplication = 1
    
    for value in numbers:
        addition += value
        multiplication *= value
    
    return (addition, multiplication)
```",634,74,True,"from typing import List, Tuple


def candidate(numbers: List[int]) -> Tuple[int, int]:
    addition = 0
    multiplication = 1
    
    for value in numbers:
        addition += value
        multiplication *= value
    
    return (addition, multiplication)"
9,0,0,4,4,0.0,False,False,"Exception Error in: assert rolling_max([]) == [] → name 'rolling_max' is not defined
Exception Error in: assert rolling_max([1, 2, 3, 4]) == [1, 2, 3, 4] → name 'rolling_max' is not defined
Exception Error in: assert rolling_max([4, 3, 2, 1]) == [4, 4, 4, 4] → name 'rolling_max' is not defined
Exception Error in: assert rolling_max([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100] → name 'rolling_max' is not defined
",4,2,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,False,nr,5,4,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,False,clnov,False,0,,"```python
from typing import List, Tuple


def candidate(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    output = []
    current_max = numbers[0]
    
    for value in numbers:
        if value > current_max:
            current_max = value
        output.append(current_max)
    
    return output
```",619,98,True,"from typing import List, Tuple


def candidate(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    output = []
    current_max = numbers[0]
    
    for value in numbers:
        if value > current_max:
            current_max = value
        output.append(current_max)
    
    return output"
