task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
590,0,0,0,0,True,-0.0006502494900695367,0.6331673404977627,0.6331673404977627,0.19848149464260423,binomial,0.25,8,2,False,cprxy,0.470215701960391,0.3930303605066505,0.3930303605066505,0.4055739002830334,binomial,0.2916666666666667,24,7,False,acmprstxy
776,0,0,0,0,True,-0.00045979582389126395,0.6837617273007001,0.6837617273007001,0.1650952119443554,binomial,0.25,4,1,False,irtv,1.3462821723535665,0.16591181618015086,0.16591181618015086,0.7801226825766436,binomial,0.4444444444444444,9,4,False,chirstv
728,0,0,0,0,True,-1.1550071096148085,1.0,1.0,-0.0,binomial,0.0,4,0,False,ilr,2.6655164199092938,0.01428478832519484,0.01428478832519484,1.8451261906946752,binomial,0.5833333333333334,12,7,True,abdflprs
627,0,0,0,0,True,-0.2586786950466227,0.7628527807675103,0.7628527807675103,0.11755926632991633,binomial,0.2,5,1,False,aefms,-0.00045979582389126395,0.6837617273007001,0.6837617273007001,0.1650952119443554,binomial,0.25,4,1,False,lmrs
733,0,0,0,0,True,-1.4145890339215597,1.0,1.0,-0.0,binomial,0.0,6,0,False,almrx,1.332360015090603,0.15784932236174448,0.15784932236174448,0.8017572781695262,binomial,0.4166666666666667,12,5,False,afilmrst
57,0,0,0,0,True,-1.1550071096148085,1.0,1.0,-0.0,binomial,0.0,4,0,False,ain,1.8247725879731496,0.07824324812000348,0.07824324812000348,1.106553128934749,binomial,0.5,10,5,False,abcdlrs
166,0,0,0,0,True,-1.000265498478062,1.0,1.0,-0.0,binomial,0.0,3,0,False,aij,-0.5229261545536268,0.8031081949991735,0.8031081949991735,0.09522594248493552,binomial,0.18181818181818182,11,2,False,ceijnost
468,0,0,0,0,True,-1.4145890339215597,1.0,1.0,-0.0,binomial,0.0,6,0,False,acijmn,3.77930664081398,0.000627349967307481,0.000627349967307481,3.202490120303113,binomial,0.6470588235294118,17,11,True,abdijmnpstx
573,0,0,0,0,True,1.1540875179670258,0.26188677189940346,0.26188677189940346,0.5818864375662993,binomial,0.5,4,2,False,ilpt,-0.000796389728087661,0.6096332977972533,0.6096332977972533,0.21493132012207697,binomial,0.25,12,3,False,cimnoprtu
629,0,0,0,0,True,-0.5775035548074042,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,-1.219144380473116,0.9578264965514098,0.9578264965514098,0.018713153149643297,binomial,0.09090909090909091,11,1,False,efntx
620,0,0,0,0,True,-0.4719050996919853,0.8221631964098852,0.8221631964098852,0.08504196802495056,binomial,0.16666666666666666,6,1,False,adijmn,1.7309013790385932,0.07970349255215942,0.07970349255215942,1.0985226477017844,binomial,0.4375,16,7,False,bcdeijlnprst
84,0,0,0,0,True,0.8160631100372355,0.437649332978701,0.437649332978701,0.35887372910415716,binomial,0.5,2,1,False,ns,1.7603470504459735,0.08034628996093811,0.08034628996093811,1.0950341722508776,binomial,0.46153846153846156,13,6,False,bcimnopst
788,0,0,0,0,True,2.448839579601776,0.06254979087633687,0.06254979087633687,1.2037741379514526,binomial,1.0,2,2,False,t,1.5657285232048406,0.11478636556442975,0.11478636556442975,0.9401096947933636,binomial,0.45454545454545453,11,5,False,abcdils
746,0,0,0,0,True,-0.00045979582389126395,0.6837617273007001,0.6837617273007001,0.1650952119443554,binomial,0.25,4,1,False,ampr,1.0903364148510661,0.24379806800717962,0.24379806800717962,0.612969740297397,binomial,0.42857142857142855,7,3,False,amprst
271,0,0,0,0,True,-1.000265498478062,1.0,1.0,-0.0,binomial,0.0,3,0,False,ijn,2.2619467491243297,0.034391507186691976,0.034391507186691976,1.4635487910718392,binomial,0.5454545454545454,11,6,False,einorst
87,0,0,0,0,True,1.4134627687671635,0.16959113518910732,0.16959113518910732,0.7705968527813887,binomial,0.5,6,3,False,cdm,6.349090634202262,1.1475645000950666e-08,1.1475645000950666e-08,7.940222895116948,binomial,0.9375,16,15,True,bdfst
457,0,0,0,0,True,-0.5775035548074042,1.0,1.0,-0.0,binomial,0.0,1,0,False,l,2.885678590741456,0.010015196505959272,0.010015196505959272,1.999340525090671,binomial,0.6666666666666666,9,6,True,bflst
619,0,0,0,0,True,0.7739798157038857,0.3673975134334593,0.3673975134334593,0.43486378734915965,binomial,0.4,5,2,False,deirt,2.5549724235748354,0.019766497464907783,0.019766497464907783,1.704070278912131,binomial,0.6,10,6,False,cdilrst
