pid,original_code,watermarked_code,paraphrased_code_qwen
87,"    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])
","def get_row(lst, x):
    locations_list = [] # data_of_all_locations

    # loop_over_each_line and its_index
    for idx_line, input_line in enumerate(lst):
        # loop_over_each_element_and_local_index
        for idx_data_element, data_element in enumerate(input_line):
            if data_element == x:
                locations_list.append((idx_line, idx_data_element))

    # Uses_a_particular_ordering_approach.
    # It_uses_a_lambda_key_generating_logic_of (row, -column).
    locations_list.sort(key=lambda each_location: (each_location[0], -each_location[1]))

    return locations_list","def find_row(lst, target):
    # Initialize an empty list to store location tuples.
    locations_list = []

    # Iterate over each line and its index in the list.
    for line_index, current_line in enumerate(lst):
        # Iterate over each element and its index within the current line.
        for element_index, value in enumerate(current_line):
            # Check if the current element matches the target.
            if value == target:
                # Append a tuple of (row index, column index) to the locations list.
                locations_list.append((line_index, element_index))

    # Sort the list based on a custom ordering logic: first by row index, then by negative column index.
    locations_list.sort(key=lambda location: (location[0], -location[1]))

    return locations_list"
99,"    from math import floor, ceil

    if value.count('.') == 1:
        # remove trailing zeros
        while (value[-1] == '0'):
            value = value[:-1]

    num = float(value)
    if value[-2:] == '.5':
        if num > 0:
            res = ceil(num)
        else:
            res = floor(num)
    elif len(value) > 0:
        res = int(round(num))
    else:
        res = 0

    return res

","import math

def closest_integer(given_input_data):
    # Locate decimal data.
    actual_decimal_data = float(given_input_data)

    # Locate lower integer element.
    lower_integer_element = math.floor(actual_decimal_data)
    # Locate upper integer element.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Do data gap, lower.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Do data gap, upper.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Logic, dealing equidistant items.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:  # Equidistant case
        # If equidistant, adjust.
        if actual_decimal_data >= 0:
            # Positive, upward adjustment.
            return int(upper_integer_element)
        else:
            # Less, downward adjustment.
            return int(lower_integer_element)","import math

def closest_integer(given_input_data):
    # Convert the input data to a floating-point number.
    actual_decimal_data = float(given_input_data)

    # Find the lower integer value.
    lower_integer_element = math.floor(actual_decimal_data)
    # Find the upper integer value.
    upper_integer_element = math.ceil(actual_decimal_data)

    # Calculate the distance between the decimal and the lower integer.
    distance_of_lower_element = actual_decimal_data - lower_integer_element
    # Calculate the distance between the decimal and the upper integer.
    distance_of_upper_element = upper_integer_element - actual_decimal_data

    # Determine which integer is closer to the decimal value.
    if distance_of_lower_element < distance_of_upper_element:
        return int(lower_integer_element)
    elif distance_of_upper_element < distance_of_lower_element:
        return int(upper_integer_element)
    else:
        # In case of equidistance, decide based on sign.
        if actual_decimal_data >= 0:
            # If positive, use the upper integer.
            return int(upper_integer_element)
        else:
            # If negative, use the lower integer.
            return int(lower_integer_element)"
41,"    return n**2
","def car_race_collision(n: int):
    # a general explanation:
    # each 'auto', driving left, involves an 'encounter'.
    # involving all 'autos' going, also.
    # an equal 'amount' of left-going 'autos' exists.
    # an equal 'amount' of 'autos' in other direction exists.
    # a grand outcome: 'n' x 'n'.
    all_impacts = n * n # a local 'equation' gives all 'impacts'.
    return all_impacts","def car_race_encounters(n: int):
    # A general explanation:
    # Each ""auto"" driving left is involved in an ""encounter"".
    # Involving all ""autos"" going involves.
    # An equal number of ""autos"" driving left exists.
    # An equal number of ""autos"" in the opposite direction exists.
    # The total outcome: ""n"" squared.
    total_encounters = n * n  # A local equation determines all encounters.
    return total_encounters"
128,"    if not arr: return None
    prod = 0 if 0 in arr else (-1) ** len(list(filter(lambda x: x < 0, arr)))
    return prod * sum([abs(i) for i in arr])
","def prod_signs(arr):
    # Determine if input data list is empty.
    if len(arr) == 0:
        return None

    overall_product_indicator = 1  # Initialize overall product indicator.
    add_up_absolute_elements = 0   # Initialize accumulator, obtains absolute elements.

    for each_digit in arr:
        # Obtain digit polarity unit.
        digit_polarity_unit = 0
        if each_digit > 0:
            digit_polarity_unit = 1
        elif each_digit < 0:
            digit_polarity_unit = -1
        # If each_digit is 0, digit_polarity_unit remains 0,
        # leading to an overall_product_indicator of 0.

        # Update overall product indicator.
        overall_product_indicator *= digit_polarity_unit
        
        # Update absolute overall accumulator.
        add_up_absolute_elements += abs(each_digit)

    # Generate output.
    return overall_product_indicator * add_up_absolute_elements","def prod_signs(arr):
    # Check if the input array is empty.
    if not arr:
        return None

    # Initialize variables to track the overall product and sum of absolute values.
    product_sign = 1           # Start with an overall product indicator as 1.
    total_abs_sum = 0          # Accumulate the sum of absolute values.

    # Iterate through each element in the array.
    for num in arr:
        # Determine the polarity unit based on the sign of the number.
        if num > 0:
            polarity_unit = 1      # Positive numbers contribute 1 to the product.
        elif num < 0:
            polarity_unit = -1     # Negative numbers contribute -1 to the product.
        
        # If the number is zero, it does not affect the overall product but increases the sum of absolute values.
        
        # Update the overall product indicator by multiplying with the polarity unit.
        product_sign *= polarity_unit
        
        # Add the absolute value of the current number to the total sum of absolute values.
        total_abs_sum += abs(num)

    # Compute the final result by multiplying the overall product and the sum of absolute values.
    return product_sign * total_abs_sum"
49,"    ret = 1
    for i in range(n):
        ret = (2 * ret) % p
    return ret
","def modp(input_exponent: int, p: int):
    # Operates outcome_element, initially one.
    outcome_element = 1
    # Local operand unit, always duo.
    local_operand_unit = 2
    # Local exponent, duplicates input_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, duplicates outcome_element using local_operand_unit.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies p division.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Adjusts local_exponent.
        local_exponent = local_exponent // 2
    return outcome_element","def modp(input_exponent: int, p: int):
    # Initializes outcome_element to 1.
    outcome_element = 1
    # Sets local_operand_unit to 2.
    local_operand_unit = 2
    # Creates a copy of input_exponent called local_exponent.
    local_exponent = input_exponent

    while local_exponent > 0:
        # If local_exponent is odd, multiplies outcome_element by local_operand_unit and then takes modulo p.
        if local_exponent % 2 == 1:
            outcome_element = (outcome_element * local_operand_unit) % p
        # Doubles local_operand_unit and applies modulo p to ensure it remains within bounds.
        local_operand_unit = (local_operand_unit * local_operand_unit) % p
        # Reduces local_exponent by halving it, using integer division.
        local_exponent //= 2

    return outcome_element"
110,"    odd = 0
    even = 0
    for i in lst1:
        if i%2 == 1:
            odd += 1
    for i in lst2:
        if i%2 == 0:
            even += 1
    if even >= odd:
        return ""YES""
    return ""NO""
            
","def exchange(lst1, lst2):
    odd_elements_one = 0
    # Obtain count of odd elements in lst1.
    for ele_one in lst1:
        if ele_one % 2 != 0:
            odd_elements_one += 1

    even_elements_do = 0
    # Obtain count of even elements in lst2.
    for ele_do in lst2:
        if ele_do % 2 == 0:
            even_elements_do += 1
    
    # Judge if even elements available in lst2 are adequate for odd elements in lst1.
    if even_elements_do >= odd_elements_one:
        return ""YES""
    else:
        return ""NO""","def exchange(lst1, lst2):
    # Count the number of odd elements in lst1.
    odd_count_one = sum(1 for ele_one in lst1 if ele_one % 2 != 0)

    # Count the number of even elements in lst2.
    even_count_do = sum(1 for ele_do in lst2 if ele_do % 2 == 0)
    
    # Check if there are enough even elements in lst2 to match odd elements in lst1.
    if even_count_do >= odd_count_one:
        return ""YES""
    else:
        return ""NO"""
47,"    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0
","def median(l: list):
    _ordered_data = sorted(l) # a local list, in an ordered way
    _data_length = len(_ordered_data) # get length of the list
    _index_point = _data_length // 2 # an index for the middle point

    if _data_length % 2 == 1:
        # odd length, just take the middle element
        _outcome_value = _ordered_data[_index_point]
    else:
        # even length, average the two middle elements
        _element_one = _ordered_data[_index_point - 1]
        _element_two = _ordered_data[_index_point]
        _outcome_value = (_element_one + _element_two) / 2.0
    
    return _outcome_value","def calculate_median(data):
    # Sort the list in ascending order
    sorted_data = sorted(data)
    
    # Determine the length of the sorted list
    data_length = len(sorted_data)
    
    # Calculate the index position of the middle element(s)
    index_position = data_length // 2
    
    if data_length % 2 == 1:
        # If the list has an odd number of elements, return the middle element
        result_value = sorted_data[index_position]
    else:
        # If the list has an even number of elements, average the two middle elements
        middle_element_one = sorted_data[index_position - 1]
        middle_element_two = sorted_data[index_position]
        result_value = (middle_element_one + middle_element_two) / 2.0
    
    return result_value"
23,"    return len(string)
","def strlen(input_data: str) -> int:
    # An easy operation.
    # Acknowledging input_data's length.
    return len(input_data)","def compute_string_length(data: str) -> int:
    # A straightforward operation.
    # Measuring the length of the provided string data.
    return len(data)"
29,"    return [x for x in strings if x.startswith(prefix)]
","from typing import List


def filter_by_prefix(original_data_list: List[str], input_prefix_key: str) -> List[str]:
    # a list to keep eligible elements
    eligible_items_list = []
    for each_data_item in original_data_list:
        if each_data_item.startswith(input_prefix_key):
            # add an item if it opens with given prefix
            eligible_items_list.append(each_data_item)
    return eligible_items_list","from typing import List


def select_with_prefix(original_data: List[str], search_key: str) -> List[str]:
    # Create a list to store items that match the prefix
    matching_items = []
    for item in original_data:
        if item.startswith(search_key):
            # Append an item if it starts with the specified prefix
            matching_items.append(item)
    return matching_items"
98,"    count = 0
    for i in range(0,len(s),2):
        if s[i] in ""AEIOU"":
            count += 1
    return count
","def count_upper(input_data):
    # Initializes a counter for applicable units.
    good_upper_count = 0
    # Gathers all upper vowels for comparison.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterates through each unit in the input data with its index.
    for i, data_unit in enumerate(input_data):
        # Examines if the unit's index is even.
        if i % 2 == 0:
            # Judges if the unit is an uppercase vowel.
            if data_unit in all_upper_vowels:
                good_upper_count += 1
    
    return good_upper_count","def count_uppercase(input_data):
    # Initialize a counter to keep track of valid uppercase vowels.
    good_uppercase_count = 0
    # Define a set containing all uppercase vowels for easy lookup.
    all_upper_vowels = {'A', 'E', 'I', 'O', 'U'}

    # Iterate over each unit in the input data along with its index.
    for index, current_unit in enumerate(input_data):
        # Check if the index is even.
        if index % 2 == 0:
            # Verify if the current unit is an uppercase vowel.
            if current_unit in all_upper_vowels:
                good_uppercase_count += 1

    return good_uppercase_count"
63,"    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 1
    return fibfib(n - 1) + fibfib(n - 2) + fibfib(n - 3)
","def fibfib(input_data_idx: int) -> int:
    if input_data_idx == 0:
        return 0
    if input_data_idx == 1:
        return 0
    if input_data_idx == 2:
        return 1

    # Initial elements
    oldest_data_elem = 0  # Oldest known data element.
    older_data_elem = 0   # Older known data element.
    latest_data_elem = 1  # Latest known data element.

    for local_idx_iterator in range(3, input_data_idx + 1):
        # Calculate each loop's data element
        loop_data_elem = latest_data_elem + older_data_elem + oldest_data_elem

        # Update elements
        oldest_data_elem = older_data_elem
        older_data_elem = latest_data_elem
        latest_data_elem = loop_data_elem
    
    return latest_data_elem","def fibfib(input_data_idx: int) -> int:
    # Base cases for input data index
    if input_data_idx == 0 or input_data_idx == 1:
        return 0
    if input_data_idx == 2:
        return 1

    # Initialize variables to keep track of the last three elements in the sequence
    oldest_data_elem = 0  # The oldest known data element.
    older_data_elem = 0   # The older known data element.
    latest_data_elem = 1  # The latest known data element.

    # Iterate from 3 to the given input index
    for local_idx_iterator in range(3, input_data_idx + 1):
        # Calculate the next data element as the sum of the three previous ones
        loop_data_elem = latest_data_elem + older_data_elem + oldest_data_elem

        # Update the elements for the next iteration
        oldest_data_elem = older_data_elem
        older_data_elem = latest_data_elem
        latest_data_elem = loop_data_elem
    
    # Return the latest data element after the loop completes
    return latest_data_elem"
133,"    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared
","import math

def sum_squares(input_data):
    # Initializes an accumulator for the overall sum.
    overall_accumulator = 0

    # Iterates across each item in the input data list.
    for each_item in input_data:
        # Applies ceiling operation to obtain the upper integer limit.
        adjusted_datum = math.ceil(each_item)
        # Determines the power of two for the adjusted datum.
        item_power_two = adjusted_datum * adjusted_datum
        # Accumulates the power of two into the overall_accumulator.
        overall_accumulator += item_power_two
    
    # Delivers the accumulated overall sum.
    return overall_accumulator","import math

def calculate_sum_of_squares(input_data):
    total_sum = 0
    
    for element in input_data:
        # Calculates the ceiling value of each element.
        elevated_value = math.ceil(element)
        # Computes the square of the elevated value.
        squared_value = elevated_value ** 2
        # Adds the squared value to the total sum.
        total_sum += squared_value
    
    return total_sum"
160,"    expression = str(operand[0])
    for oprt, oprn in zip(operator, operand[1:]):
        expression+= oprt + str(oprn)
    return eval(expression)
","def do_algebra(operations_list, operands_data):
    # Initialize the algebraic expression with the first operand.
    algebra_expression = str(operands_data[0])

    # Iterate through the operations and remaining operands to build the expression string.
    for idx, operation_element in enumerate(operations_list):
        algebra_expression += operation_element
        algebra_expression += str(operands_data[idx + 1])

    # Evaluate the complete algebraic expression.
    return eval(algebra_expression)","def compute_equation(operation_sequence, values):
    # Start with the first value as the base expression.
    current_expression = str(values[0])

    # Loop through each operation and the corresponding value to construct the equation string.
    for index, operation in enumerate(operation_sequence):
        current_expression += operation
        current_expression += str(values[index + 1])

    # Calculate the result of the constructed algebraic expression.
    return eval(current_expression)"
74,"    l1 = 0
    for st in lst1:
        l1 += len(st)
    
    l2 = 0
    for st in lst2:
        l2 += len(st)
    
    if l1 <= l2:
        return lst1
    else:
        return lst2
","def total_match(lst1, lst2):
    """"""
    Given two lists of strings, find the list with the fewer total characters.
    If totals are equal, return the first list.
    """"""
    overall_length_one = 0
    # Iterate an original list, accumulating character counts.
    for an_item in lst1:
        overall_length_one += len(an_item)

    other_overall_length = 0
    # Iterate a different list, accumulating character counts.
    for other_item in lst2:
        other_overall_length += len(other_item)

    if overall_length_one <= other_overall_length:
        return lst1
    else:
        return lst2","def find_shorter_list(lst1, lst2):
    """"""
    Determine which list of strings has fewer total characters.
    If both lists have the same total character count, return the first list.
    """"""
    overall_length_one = 0
    # Accumulate the total length of characters in the original list.
    for item in lst1:
        overall_length_one += len(item)

    other_overall_length = 0
    # Accumulate the total length of characters in a different list.
    for item in lst2:
        other_overall_length += len(item)

    if overall_length_one <= other_overall_length:
        return lst1
    else:
        return lst2"
102,"    if x > y:
        return -1
    if y % 2 == 0:
        return y
    if x == y:
        return -1
    return y - 1
","def choose_num(x, upper_limit):
    # If x is greater, then invalid interval.
    if x > upper_limit:
        return -1

    # Loop downwards. Just locate an even integer.
    for a_loop_idx in range(upper_limit, x - 1, -1):
        # Is a_loop_idx an even integer?
        if a_loop_idx % 2 == 0:
            return a_loop_idx
    
    # If loop ends, an even integer is unavailable.
    return -1","def find_even_number(x, max_value):
    # Check if x exceeds the upper limit; invalid interval otherwise.
    if x > max_value:
        return None

    # Iterate downwards to find an even integer within the range.
    for a_loop in range(max_value - 1, x, -1):
        # Determine if the current number is even.
        if a_loop % 2 == 0:
            return a_loop
    
    # Return None if no even number is found in the specified range.
    return None"
107,"    def is_palindrome(n):
        return str(n) == str(n)[::-1]

    even_palindrome_count = 0
    odd_palindrome_count = 0

    for i in range(1, n+1):
        if i%2 == 1 and is_palindrome(i):
                odd_palindrome_count += 1
        elif i%2 == 0 and is_palindrome(i):
            even_palindrome_count += 1
    return (even_palindrome_count, odd_palindrome_count)
","def even_odd_palindrome(n):
    # a private helper function to check if an integer is a palindrome
    def is_palindrome_local(a_given_input):
        input_data_as_digits_link = str(a_given_input)
        # perform check by comparing original and reversed digit link
        if input_data_as_digits_link == input_data_as_digits_link[::-1]:
            return True
        return False

    even_pal_data = 0
    odd_pal_data = 0

    # iterate loop over all integers from one up to n inclusive
    for loop_idx in range(1, n + 1):
        if is_palindrome_local(loop_idx):
            if loop_idx % 2 == 0:
                even_pal_data += 1
            else:
                odd_pal_data += 1
    
    return (even_pal_data, odd_pal_data)","def count_even_odd_palindromes(n):
    # A private helper function to determine if an integer is a palindrome
    def is_palindrome_helper(number_to_check):
        number_as_string = str(number_to_check)
        # Verify palindrome by comparing the original and reversed string representation
        if number_as_string == number_as_string[::-1]:
            return True
        return False

    even_count = 0
    odd_count = 0

    # Iterate through all integers from one to n inclusive
    for loop_index in range(1, n + 1):
        if is_palindrome_helper(loop_index):
            if loop_index % 2 == 0:
                even_count += 1
            else:
                odd_count += 1
    
    return (even_count, odd_count)"
0,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
","from typing import List


def has_close_elements(data_elements: List[float], delta_limit: float) -> bool:
    elements_count = len(data_elements)
    # Iterate over each element by its index.
    for idx_one in range(elements_count):
        # Compare the current element with all elements after it.
        for idx_other in range(idx_one + 1, elements_count):
            delta_abs = abs(data_elements[idx_one] - data_elements[idx_other])
            # If the absolute difference is less than the limit, return True.
            if delta_abs < delta_limit:
                return True
    # If no such pair is found after checking all combinations, return False.
    return False","from typing import List


def contains_close_elements(numbers: List[float], threshold: float) -> bool:
    count_of_numbers = len(numbers)
    # Loop through each number by its index.
    for first_index in range(count_of_numbers):
        # Compare the current number with all subsequent numbers.
        for second_index in range(first_index + 1, count_of_numbers):
            difference_abs = abs(numbers[first_index] - numbers[second_index])
            # If the absolute difference is less than the threshold, return True.
            if difference_abs < threshold:
                return True
    # If no such pair is found after checking all pairs, return False.
    return False"
