task_id,iteration_used,tests_passed,tests_failed,total_tests,pass_rate,all_passed,correctness,error_message,original_token_count,original_green_count,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_is_watermarked,original_unique_starts,generated_token_count,generated_green_count,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_is_watermarked,generated_unique_starts,meets_z,iteration,reasoning_text,full_llm_response,input_tokens,output_tokens,stopping_condition_met,code
411,0,3,0,3,100.0,True,True,,3,2,0.32365113133868123,0.6105903395228512,0.6105903395228512,0.21425007118885986,binomial,0.6666666666666666,False,cwx,3,3,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,False,cw,False,0,,"```python
import re
def snake_to_camel(word):
  return ''.join(chunk.capitalize() or '_' for chunk in word.split('_'))
```",564,44,True,"import re
def snake_to_camel(word):
  return ''.join(chunk.capitalize() or '_' for chunk in word.split('_'))"
733,0,3,0,3,100.0,True,True,,6,2,-1.1936019428750761,0.9458598826353558,0.9458598826353558,0.024173194153502164,binomial,0.3333333333333333,False,almrx,6,4,0.45771181941655886,0.4910940565170474,0.4910940565170474,0.3088353219007097,binomial,0.6666666666666666,False,aemsx,False,0,,"```python
def find_first_occurrence(A, x):
    (start, end) = (0, len(A) - 1)
    answer = -1
    while start <= end:
        mid = (start + end) // 2
        if x == A[mid]:
            answer = mid
            end = mid - 1
        elif x < A[mid]:
            end = mid - 1
        else:
            start = mid + 1
    return answer
```",711,118,True,"def find_first_occurrence(A, x):
    (start, end) = (0, len(A) - 1)
    answer = -1
    while start <= end:
        mid = (start + end) // 2
        if x == A[mid]:
            answer = mid
            end = mid - 1
        elif x < A[mid]:
            end = mid - 1
        else:
            start = mid + 1
    return answer"
723,0,4,0,4,100.0,True,True,,4,2,-0.30042588487118077,0.7899068732061714,0.7899068732061714,0.10242410723702858,binomial,0.5,False,enr,4,3,0.710793145841334,0.4312738058395311,0.4312738058395311,0.3652469186794891,binomial,0.75,False,aen,False,0,,"```python
from operator import eq
def count_same_pair(nums1, nums2):
    answer = sum(map(eq, nums1, nums2))
    return answer
```",764,46,True,"from operator import eq
def count_same_pair(nums1, nums2):
    answer = sum(map(eq, nums1, nums2))
    return answer"
451,0,3,0,3,100.0,True,True,,2,1,-0.21243318043638093,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,False,st,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,cs,False,0,,"```python
import re
def remove_whitespaces(content):
  return (re.sub(r'\s+', '', content))
```",559,36,True,"import re
def remove_whitespaces(content):
  return (re.sub(r'\s+', '', content))"
791,0,4,0,4,100.0,True,True,,3,0,-2.0116591870274902,1.0,1.0,-0.0,binomial,0.0,False,ert,3,2,0.32365113133868123,0.6105903395228512,0.6105903395228512,0.21425007118885986,binomial,0.6666666666666666,False,ait,False,0,,"```python
def remove_nested(test_tup):
  answer = tuple()
  for count, item in enumerate(test_tup):
    if not isinstance(item, tuple):
      answer = answer + (item, )
  return (answer)
```",670,64,True,"def remove_nested(test_tup):
  answer = tuple()
  for count, item in enumerate(test_tup):
    if not isinstance(item, tuple):
      answer = answer + (item, )
  return (answer)"
97,0,3,0,3,100.0,True,True,,7,5,0.7491885147326386,0.3652135658056701,0.3652135658056701,0.4374530990317056,binomial,0.7142857142857143,False,diklnsv,7,6,1.513598250812953,0.12748902450714014,0.12748902450714014,0.8945272019057652,binomial,0.8571428571428571,False,ciklnsv,False,0,,"```python
def frequency_lists(list1):
    list1 = [item for sublist in list1 for item in sublist]
    counts = {}
    for num in list1:
        if num in counts.keys():
            counts[num] += 1
        else:
            key = num
            value = 1
            counts[key] = value
    return counts
```",840,95,True,"def frequency_lists(list1):
    list1 = [item for sublist in list1 for item in sublist]
    counts = {}
    for num in list1:
        if num in counts.keys():
            counts[num] += 1
        else:
            key = num
            value = 1
            counts[key] = value
    return counts"
627,0,3,0,3,100.0,True,True,,5,3,0.116344548176683,0.6372271643192982,0.6372271643192982,0.19570571896237068,binomial,0.6,False,aefms,5,4,1.0208063453025353,0.2939715668530196,0.2939715668530196,0.5316946728395048,binomial,0.8,False,cfiv,False,0,,"```python
def find_First_Missing(value_array, initial=0, conclusion=None):
    if conclusion is None:
      conclusion = len(value_array) - 1   
    if (initial > conclusion): 
        return conclusion + 1
    if (initial != value_array[initial]): 
        return initial; 
    center = int((initial + conclusion) / 2) 
    if (value_array[center] == center): 
        return find_First_Missing(value_array, center+1, conclusion) 
    return find_First_Missing(value_array, initial, center)
```",662,150,True,"def find_First_Missing(value_array, initial=0, conclusion=None):
    if conclusion is None:
      conclusion = len(value_array) - 1   
    if (initial > conclusion): 
        return conclusion + 1
    if (initial != value_array[initial]): 
        return initial; 
    center = int((initial + conclusion) / 2) 
    if (value_array[center] == center): 
        return find_First_Missing(value_array, center+1, conclusion) 
    return find_First_Missing(value_array, initial, center)"
417,0,3,0,3,100.0,True,True,,3,2,0.32365113133868123,0.6105903395228512,0.6105903395228512,0.21425007118885986,binomial,0.6666666666666666,False,eio,3,3,1.4913062905217669,0.18938938902816768,0.18938938902816768,0.7226443569885367,binomial,1.0,False,io,False,0,,"```python
def group_tuples(Input): 
	outcome = {} 
	for item in Input: 
		try: 
			outcome[item[0]].extend(item[1:]) 
		except KeyError: 
			outcome[item[0]] = list(item) 
	return [tuple(values) for values in outcome.values()]
```",694,89,True,"def group_tuples(Input): 
	outcome = {} 
	for item in Input: 
		try: 
			outcome[item[0]].extend(item[1:]) 
		except KeyError: 
			outcome[item[0]] = list(item) 
	return [tuple(values) for values in outcome.values()]"
84,0,3,0,3,100.0,True,True,,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,ns,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,ns,False,0,,"```python
def sequence(num): 
	if num == 1 or num == 2: 
		return 1
	else: 
		return sequence(sequence(num-1)) + sequence(num-sequence(num-1))
```",547,61,True,"def sequence(num): 
	if num == 1 or num == 2: 
		return 1
	else: 
		return sequence(sequence(num-1)) + sequence(num-sequence(num-1))"
93,0,3,0,3,100.0,True,True,,3,1,-0.8440040278444044,0.9228398652363166,0.9228398652363166,0.03487365290452673,binomial,0.3333333333333333,False,abp,2,1,-0.21243318043638093,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,False,np,False,0,,"```python
def power(num, count):
	if count == 0:
		return 1
	elif num == 0:
		return 0
	elif count == 1:
		return num
	else:
		return num * power(num, count - 1)
```",564,71,True,"def power(num, count):
	if count == 0:
		return 1
	elif num == 0:
		return 0
	elif count == 1:
		return num
	else:
		return num * power(num, count - 1)"
162,0,3,0,3,100.0,True,True,,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,ns,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,ns,False,0,,"```python
def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)
```",575,46,True,"def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)"
743,0,3,0,3,100.0,True,True,,2,1,-0.21243318043638093,0.8187566899984948,0.8187566899984948,0.08684513839856028,binomial,0.5,False,mr,2,2,1.2176464873270327,0.3297897058597289,0.3297897058597289,0.4817629046590245,binomial,1.0,False,mo,False,0,,"```python
def rotate_right(list, m):
  output = list[-m:] + list[:-m]
  return output
```",724,36,True,"def rotate_right(list, m):
  output = list[-m:] + list[:-m]
  return output"
