task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
0,7,0,7,100.0,True,0.17401149078794934,0.5722346322065358,0.5722346322065358,0.2424258618033004,binomial,0.42857142857142855,7,3,False,deint,2.3390268120827242,0.02372485508242662,0.02372485508242662,1.6247964316759982,binomial,0.7777777777777778,9,7,False,ijlntv
2,3,0,3,100.0,True,1.2339790675094384,0.3964,0.3964,0.4018663541867623,binomial,1.0,1,1,False,n,2.137314440402813,0.06228750534399999,0.06228750534399999,1.2055990625602868,binomial,1.0,3,3,False,mns
3,6,0,6,100.0,True,0.9569994191951627,0.34682386931199993,0.34682386931199993,0.4598910209023956,binomial,0.6666666666666666,3,2,False,bo,1.4457753421846835,0.17507772002091518,0.17507772002091518,0.7567691176951057,binomial,0.75,4,3,False,alov
4,3,0,3,100.0,True,0.9569994191951627,0.34682386931199993,0.34682386931199993,0.4598910209023956,binomial,0.6666666666666666,3,2,False,mnx,2.7674274814874438,0.008035972444407093,0.008035972444407093,2.0949615611301677,binomial,0.875,8,7,True,almnsv
5,3,0,3,100.0,True,0.4235925493504899,0.5185700186030847,0.5185700186030847,0.28519259580352363,binomial,0.5,4,2,False,dnr,1.353401557808974,0.1742607579379673,0.1742607579379673,0.7588004013569136,binomial,0.6666666666666666,6,4,False,dilno
6,3,0,3,100.0,True,0.17401149078794934,0.5722346322065358,0.5722346322065358,0.2424258618033004,binomial,0.42857142857142855,7,3,False,cdmpsx,1.3218427126369197,0.1681468250518302,0.1681468250518302,0.7743113286198673,binomial,0.625,8,5,False,cglop
9,4,0,4,100.0,True,0.4235925493504899,0.5185700186030847,0.5185700186030847,0.28519259580352363,binomial,0.5,4,2,False,nr,1.84499299367977,0.08430415524893382,0.08430415524893382,1.0741510190026733,binomial,0.8,5,4,False,clmn
11,3,0,3,100.0,True,0.9467090520133015,0.2828563687041686,0.2828563687041686,0.5484340383768544,binomial,0.5714285714285714,7,4,False,abijxy,2.492104174464006,0.01793057552085735,0.01793057552085735,1.7464057705872176,binomial,0.8571428571428571,7,6,False,abiu
13,4,0,4,100.0,True,0.29952516410582875,0.63566704,0.63566704,0.19677030660827827,binomial,0.5,2,1,False,ab,1.4457753421846835,0.17507772002091518,0.17507772002091518,0.7567691176951057,binomial,0.75,4,3,False,abv
15,3,0,3,100.0,True,0.29952516410582875,0.63566704,0.63566704,0.19677030660827827,binomial,0.5,2,1,False,nx,2.467958135018877,0.024690767118361594,0.024690767118361594,1.6074654167470492,binomial,1.0,4,4,False,nov
19,0,5,5,0.0,False,0.9569994191951627,0.34682386931199993,0.34682386931199993,0.4598910209023956,binomial,0.6666666666666666,3,2,False,nvx,4.092645566081444,3.797257984276707e-05,3.797257984276707e-05,4.4205298960543855,binomial,1.0,11,11,True,inosvw
21,5,0,5,100.0,True,1.4457753421846835,0.17507772002091518,0.17507772002091518,0.7567691176951057,binomial,0.75,4,3,False,mnx,2.7674274814874438,0.008035972444407093,0.008035972444407093,2.0949615611301677,binomial,0.875,8,7,True,almnsu
22,3,0,3,100.0,True,-0.8103865181589486,1.0,1.0,-0.0,binomial,0.0,1,0,False,x,1.4457753421846835,0.17507772002091518,0.17507772002091518,0.7567691176951057,binomial,0.75,4,3,False,almo
26,3,0,3,100.0,True,2.7592610777629067,0.009787420085718535,0.009787420085718535,2.0093317709338114,binomial,1.0,5,5,True,cn,1.84499299367977,0.08430415524893382,0.08430415524893382,1.0741510190026733,binomial,0.8,5,4,False,alnuv
28,3,0,3,100.0,True,1.2339790675094384,0.3964,0.3964,0.4018663541867623,binomial,1.0,1,1,False,s,0.29952516410582875,0.63566704,0.63566704,0.19677030660827827,binomial,0.5,2,1,False,ls
29,2,0,2,100.0,True,-0.22331560201248746,0.780088625344,0.780088625344,0.10785605460260908,binomial,0.3333333333333333,3,1,False,psx,0.9307249095966333,0.3112380671788872,0.3112380671788872,0.5069072903627357,binomial,0.6,5,3,False,alops
30,4,0,4,100.0,True,-1.1460596047446956,1.0,1.0,-0.0,binomial,0.0,2,0,False,el,0.9569994191951627,0.34682386931199993,0.34682386931199993,0.4598910209023956,binomial,0.6666666666666666,3,2,False,aln
35,2,0,2,100.0,True,-0.22331560201248746,0.780088625344,0.780088625344,0.10785605460260908,binomial,0.3333333333333333,3,1,False,elm,0.9569994191951627,0.34682386931199993,0.34682386931199993,0.4598910209023956,binomial,0.6666666666666666,3,2,False,acl
37,3,0,3,100.0,True,0.5187928023767009,0.44821537641980697,0.44821537641980697,0.3485132486940259,binomial,0.5,6,3,False,aelo,0.9307249095966333,0.3112380671788872,0.3112380671788872,0.5069072903627357,binomial,0.6,5,3,False,ceilm
38,0,1,1,0.0,False,0.29952516410582875,0.63566704,0.63566704,0.19677030660827827,binomial,0.5,2,1,False,es,1.353401557808974,0.1742607579379673,0.1742607579379673,0.7588004013569136,binomial,0.6666666666666666,6,4,False,agims
43,9,0,9,100.0,True,0.4235925493504899,0.5185700186030847,0.5185700186030847,0.28519259580352363,binomial,0.5,4,2,False,ijl,2.7592610777629067,0.009787420085718535,0.009787420085718535,2.0093317709338114,binomial,1.0,5,5,True,aikn
